,LinearRegression_train_true,LinearRegression_train_pred,GradientBoostingRegressor_train_true,GradientBoostingRegressor_train_pred,ExtraTreesRegressor_train_true,ExtraTreesRegressor_train_pred,LinearRegression_GradientBoostingRegressor_ExtraTreesRegressor_train_true,LinearRegression_GradientBoostingRegressor_ExtraTreesRegressor_train_pred
0,29.8,28.60462730204881,29.8,29.86849575671305,29.8,29.188586666666634,29.8,29.166551531752415
1,29.6,25.228272029455198,29.6,29.624182415732864,27.3,27.687606666666653,29.6,29.18815852423446
2,27.3,33.01045763530041,27.3,27.278418743210604,27.0,25.550936666666644,27.0,27.6903730598549
3,27.0,27.18711249413778,27.0,26.752570681129583,24.0,24.733256666666637,26.6,26.993106923981497
4,26.6,28.73102708273703,24.0,24.257651560869956,20.0,20.025959999999973,20.0,19.978347015357595
5,24.0,23.93682727907982,20.0,19.90977353817582,18.0,17.644120000000015,18.0,17.22980732245004
6,20.0,23.203318536346274,17.2,17.094409496601244,17.2,16.722843333333362,16.0,16.889833214190794
7,18.0,14.188171843270922,11.9,12.296100772471005,16.0,16.989056666666666,11.9,12.291297945082935
8,17.2,18.733149387715912,14.1,13.93655943253083,14.1,14.015810000000016,20.0,19.27000331996003
9,16.0,19.087974492855977,20.0,19.671923004445862,20.0,19.61352333333334,20.0,19.903390457737135
10,11.9,15.517187005188234,20.0,19.733572458624284,20.0,18.828973333333344,19.2,19.11023763288546
11,14.1,16.397787801948525,14.3,14.681037418109682,19.2,19.032989999999998,14.3,14.970949321401969
12,20.0,18.166629938127755,17.1,17.090059686190745,14.3,15.964553333333342,17.1,16.975071362370503
13,20.0,19.662836008162074,16.5,16.162654450405583,17.1,17.19011000000002,16.5,16.5883929875059
14,19.2,19.887701989421814,11.0,11.88911493094266,16.5,15.429790000000006,27.7,28.559540157889955
15,14.3,15.964681447712437,27.8,27.637448089388702,11.0,13.108976666666665,27.8,28.621184517746364
16,17.1,13.374309600888395,15.3,15.241394256331452,27.7,28.43079,14.8,15.491346056181973
17,16.5,15.726526975667511,27.1,27.45751792218867,27.8,28.547360000000005,15.3,15.797422324719658
18,11.0,15.468864142775189,17.5,17.369743635865042,14.8,17.645970000000005,16.4,16.37690730047816
