,LinearRegression_train_true,LinearRegression_train_pred,GradientBoostingRegressor_train_true,GradientBoostingRegressor_train_pred,ExtraTreesRegressor_train_true,ExtraTreesRegressor_train_pred,LinearRegression_GradientBoostingRegressor_ExtraTreesRegressor_train_true,LinearRegression_GradientBoostingRegressor_ExtraTreesRegressor_train_pred
0,29.8,25.403471207362486,29.8,29.75579329017649,29.8,27.115943333333323,29.8,29.009165752803575
1,27.3,34.87946013921113,29.6,29.3949816822221,27.0,25.771770000000004,29.6,27.838193383160405
2,27.0,27.772957926340908,27.3,27.472254075792005,26.6,26.24674,27.3,27.61906106203122
3,26.6,28.156855291849,27.0,26.86007306239416,17.2,16.715463333333332,27.0,27.053751221835803
4,24.0,24.62723113939772,26.6,26.251547452223598,16.0,16.182033333333337,26.6,26.098405198362496
5,20.0,22.433082928254052,24.0,24.236899847867598,11.9,13.958739999999985,18.0,16.433760212580378
6,18.0,15.821644713080303,20.0,20.06293191169096,14.1,13.667396666666654,16.0,16.324083842355858
7,17.2,17.06405670371207,18.0,17.054556246097928,20.0,20.817483333333353,11.9,11.415100302272577
8,16.0,20.567088940472374,17.2,17.13050776771055,20.0,18.55497333333332,14.1,14.17553459418328
9,11.9,13.446805024571795,16.0,16.308471069884284,19.2,19.170989999999993,20.0,18.67987497816297
10,14.1,17.13761222205533,11.9,13.067800280093907,14.3,16.70736333333331,19.2,18.77184779356895
11,20.0,18.902024224397614,14.1,14.115043028983855,17.1,16.78082333333335,14.3,14.256234244974932
12,20.0,19.86998860233612,20.0,19.637072619389027,16.5,15.853340000000014,17.1,15.680818748323379
13,19.2,21.11518095849093,19.2,18.625007272358726,11.0,13.032876666666652,16.5,15.308016087489294
14,14.3,18.012961402232364,14.3,15.177306913439832,27.7,28.269999999999992,11.0,11.926546252138234
15,16.5,15.036405668712163,16.5,16.03368834867499,27.8,28.511953333333317,27.7,28.145234468452035
16,11.0,16.05502314929582,11.0,12.258298391456762,14.8,18.512136666666652,27.8,28.033261499198492
17,27.8,30.942377437392324,27.7,27.71138114009936,15.3,15.978193333333314,14.8,15.189351877802082
18,14.8,15.057343060038601,27.8,27.623456002531892,16.4,15.89288000000001,15.3,14.966308353829554
19,15.3,16.171816685871452,14.8,15.342968781176411,21.2,20.167409999999997,16.4,16.03198685742331
20,16.4,16.5261087837389,15.3,15.495045567644546,27.1,28.02607333333335,21.2,20.20811912906818
21,21.2,16.523982340898456,16.4,16.517785280653694,17.4,17.37857000000002,27.1,26.688813389016097
22,27.1,25.339649599147066,21.2,20.911910648147796,15.4,15.971210000000003,16.2,15.804154804633082
23,16.2,17.261070820936077,27.1,27.246642454350763,17.5,17.244623333333344,17.4,16.221185578463697
24,17.4,14.114893621541476,16.2,15.722446308207548,15.1,16.55640333333331,15.4,14.368115161937546
25,15.4,12.761390547219257,17.4,16.87004965796749,17.0,16.329903333333327,17.5,16.545965317180936
26,17.5,17.68995149974898,15.4,15.699539094050795,17.1,17.112070000000003,15.1,15.979581744209575
27,15.1,20.37493836722593,17.5,17.284108047034486,15.0,15.235373333333351,17.0,15.688243491332653
28,17.0,13.899999534734214,17.0,16.791882088765313,15.1,15.281020000000003,15.0,13.90153188658563
29,15.0,16.09267650156533,17.0,16.52861141602925,16.0,14.886943333333328,16.0,14.914985144118784
30,15.0,15.750138598182772,17.1,17.547379590378686,16.0,15.947973333333332,16.0,14.872363907398217
31,18.0,17.528914007946604,15.0,15.276488989765944,16.6,16.209439999999994,16.6,15.197920172215404
32,19.0,21.67941925873577,15.1,15.50215497821086,18.0,17.87434666666671,18.0,16.449381353077325
33,18.0,19.45874159744387,15.0,15.017235946313873,18.0,17.869280000000042,18.0,18.21228035843103
34,15.0,14.30966669677224,16.0,16.118611187114677,19.0,19.919309999999975,15.0,14.22362560741268
35,17.0,14.662787701634315,16.6,16.631538698914586,15.0,14.095486666666652,15.0,13.822221589234855
36,15.0,10.74104448400395,18.0,17.717356770226683,17.0,17.13898333333334,17.2,17.104742955039473
37,17.2,23.016572696736013,18.0,17.755483398055556,15.0,13.847513333333325,16.6,16.038244792251987
38,22.4,25.666309582895224,19.0,19.260798338937775,27.0,26.13990999999996,22.4,22.774977836673933
39,22.0,19.20587825283564,19.0,19.429230396857463,17.2,18.94785333333337,22.0,20.098504614379724
40,16.1,11.035933183532322,18.0,17.871033400704864,22.0,21.495643333333312,23.0,22.041044639335208
41,23.0,20.910866976475685,17.0,17.29889022059678,23.0,22.066193333333334,32.2,31.673290609481928
42,32.2,32.16463416271499,27.0,27.35273062226911,32.2,30.99556999999995,47.2,46.68698896287354
43,47.2,44.60113890949843,17.2,17.37694831596201,47.2,46.33646333333329,0.0,-0.7487799378707178
44,0.0,-2.4917979523417557,16.6,16.876649818062248,0.0,1.36695,19.0,19.777276948165913
45,19.0,21.056037481614105,22.4,22.79566625743192,19.0,20.190329999999992,23.0,20.783373520881735
46,23.0,20.00272287974954,22.0,20.93673301880012,35.0,32.72970333333334,35.0,34.028321669372986
47,35.0,33.09214637175244,16.1,16.056909198604956,20.0,18.937549999999995,19.2,19.553284801160807
48,19.2,23.841518870699012,23.0,22.672931127060718,19.0,19.617823333333337,19.0,18.062995624674414
49,19.0,16.77230040962223,32.2,31.769086456316828,38.0,37.21843333333335,20.0,18.17334471252056
50,20.0,13.738859793288057,0.0,0.03585342022759833,25.0,26.501749999999966,19.0,19.04427614703538
51,19.0,23.632063953631068,23.0,22.37540402229971,55.0,54.73870666666655,25.0,25.918451293453508
52,19.8,20.614904426789586,35.0,34.90599559085856,1.0,1.3037033333333352,1.0,0.4355250598948861
53,4.0,6.104498590953952,19.2,19.307862272372976,2.0,5.112676666666665,2.0,1.5166090821109464
54,38.0,36.72723824326385,19.0,18.639772829389475,40.0,35.49592000000002,40.0,39.420040314598026
55,25.0,28.360087859398725,20.0,20.01593620626861,0.7,2.159976666666668,2.7,2.2955568567409257
56,55.0,48.95697797242945,19.0,18.902829750908207,2.7,4.8757099999999935,42.0,41.62286894583487
57,1.0,1.1618325051701746,19.8,19.664592978404862,42.0,44.36051000000003,33.8,33.29178816652144
58,2.0,1.724778241345831,4.0,4.166405587608921,5.0,5.0375433333333275,16.1,15.542378054714845
59,40.0,38.37459898416148,38.0,39.14125418225388,16.0,17.32190666666667,5.0,4.832644978468267
60,0.7,1.944289073465093,55.0,54.37379155055664,32.0,31.973256666666675,16.0,16.17218647742973
61,2.7,4.498854183117794,2.0,2.4083396217223196,29.7,29.02917666666664,32.0,31.29422590849163
62,42.0,44.4497787498187,40.0,38.72541257720316,16.4,15.978149999999987,29.7,29.132649089700585
63,33.8,32.6347326177704,0.7,1.0430530711079005,2.3,5.8217633333333305,12.0,14.568617245153163
64,16.1,13.825868415378345,2.7,3.182227024312505,4.4,6.6858033333333236,2.3,2.471205538748167
65,5.0,3.7723209384598135,42.0,42.12055586184107,5.0,5.159556666666667,4.4,4.39576595138703
66,16.0,18.196231480239106,26.0,26.164417331503497,23.0,20.760229999999968,5.0,3.9462761864224607
67,32.0,32.27297450872084,33.8,33.61461695085843,9.0,9.89181999999999,9.0,9.791919196452707
68,31.0,32.041195477714844,5.0,4.957474217584827,50.0,49.002203333333355,50.0,49.64841428405771
69,29.7,29.51919624026653,16.0,16.63223718995577,19.0,17.605119999999985,19.0,17.674354855655885
70,16.4,15.053140639622612,32.0,31.907822067165988,8.0,9.943669999999994,8.0,8.782809103017632
71,2.3,0.8163495735941098,29.7,29.662779243560806,21.0,25.561896666666623,21.0,21.877012496099642
72,4.4,7.450489307118097,12.0,12.604193251860046,17.1,15.962470000000016,17.1,15.795354509827124
73,23.0,17.71945124918475,16.4,16.486347249404563,13.0,12.348696666666672,13.0,12.583427847081616
74,50.0,47.31482158565751,2.3,2.4886488405020715,16.8,16.329013333333315,16.8,15.868002082553943
75,19.0,15.002491260284252,4.4,4.995392832130202,0.0,0.8041166666666671,0.0,-0.012447853897466499
76,8.0,14.063743890001263,33.0,33.10108522401492,10.0,10.804683333333307,10.0,9.4454763245923
77,21.0,27.918312180363273,9.0,9.979720376833825,55.0,52.700469999999896,55.0,52.66665049874946
78,17.1,16.684035187581273,50.0,50.180779625672315,17.5,16.890989999999988,5.0,4.721789162735768
79,13.0,10.655884872087647,19.0,18.55794825701594,10.5,11.07846666666665,10.0,8.766893753566546
80,16.8,14.715105695705034,13.0,13.196921311840136,5.0,6.814846666666649,3.0,2.371687747178271
81,0.0,0.6796230517611974,16.8,16.719792637480623,10.0,7.072866666666642,0.1,1.404394906822919
82,10.0,8.994711711057171,0.0,0.18345867362885945,3.0,3.4051566666666684,34.0,34.5506455254272
83,55.0,50.85849516846772,5.0,5.687105857461512,34.0,35.81553666666661,3.3,2.2620815127977503
84,17.5,17.359871138756077,55.0,53.900262803215966,3.3,3.1714233333333377,39.0,37.831208861965166
85,10.5,14.133431549901239,17.5,17.108222180185724,39.0,36.036106666666655,16.0,15.286371532008202
86,5.0,8.545827696735536,5.0,5.44120305520756,16.0,16.12483,50.0,48.209820576991376
87,10.0,10.742001404585558,10.0,9.06274146721319,50.0,53.053246666666574,6.0,5.532843519749064
88,3.0,3.3077078274371985,3.0,3.5672727383838447,6.0,8.084139999999998,0.0,0.5184611639798276
89,34.0,37.524200777145936,0.1,0.27146740990711354,0.0,0.5941433333333329,33.1,32.39869507736563
90,3.3,1.1598775393647784,34.0,34.16333976447156,33.1,33.800279999999965,40.0,39.43624642379896
91,39.0,37.4558525627109,3.3,3.2405117087627473,30.0,29.378460000000004,30.0,28.72838806827419
92,16.0,17.269624465371876,39.0,37.842334544314696,16.0,15.202226666666666,16.0,14.496185817409119
93,50.0,46.59084087701617,16.0,16.323142127605426,32.0,31.15000000000002,32.0,31.15940145218126
94,0.0,5.009067636616102,50.0,49.99552358242872,61.0,55.48085666666658,61.0,58.84780428381197
