,LinearRegression_train_true,LinearRegression_train_pred,GradientBoostingRegressor_train_true,GradientBoostingRegressor_train_pred,ExtraTreesRegressor_train_true,ExtraTreesRegressor_train_pred,LinearRegression_GradientBoostingRegressor_ExtraTreesRegressor_train_true,LinearRegression_GradientBoostingRegressor_ExtraTreesRegressor_train_pred
0,29.8,28.513165029412335,29.8,29.893602023965613,29.8,28.865313333333294,27.3,28.261841140178685
1,29.6,24.077441352346852,29.6,29.74426376501452,29.6,29.83002000000002,27.0,27.52496570284441
2,27.3,32.89931025296539,27.0,26.58255726920617,27.3,26.991233333333373,26.6,26.85141544138773
3,27.0,29.23135921387808,26.6,26.243954745360668,27.0,25.01407333333334,24.0,23.946393097812983
4,26.6,28.615055916654626,24.0,24.345352735406145,20.0,20.115716666666657,20.0,20.038408339231832
5,24.0,23.008679312503034,20.0,19.49577602715422,18.0,17.686293333333346,18.0,16.50197073489206
6,20.0,20.239753356332926,18.0,17.45304242971191,16.0,16.58828333333333,16.0,16.054418972169515
7,18.0,15.842504793356,17.2,17.52267883982991,11.9,14.343996666666627,11.9,10.520119436095838
8,17.2,21.323887910416033,16.0,16.143453983687547,14.1,14.359176666666606,14.1,13.723819318582372
9,11.9,15.785241196386892,11.9,12.437551775472187,20.0,19.368306666666673,20.0,19.126328657784732
10,20.0,20.64596167632027,20.0,19.766635132383758,19.2,18.85248666666666,20.0,19.348446233790803
11,20.0,18.149919295365976,20.0,19.530867893267928,14.3,16.47743,19.2,18.872804534996945
12,14.3,16.17340749089408,14.3,14.577702257308498,17.1,17.001640000000002,14.3,14.028280049766511
13,17.1,14.077687474250581,17.1,16.709673078518897,16.5,15.662386666666665,17.1,15.728448980924284
14,11.0,14.974549080807435,11.0,11.856861331584907,11.0,13.060219999999985,16.5,15.386944858577877
15,27.8,28.166054316401812,27.8,27.446717894157807,27.7,28.015049999999984,11.0,11.007926249204974
16,15.3,14.595657575534744,15.3,15.6626924133395,27.8,27.584629999999997,27.8,28.314166655326225
17,16.4,19.57482549953056,27.1,27.033758144146773,14.8,19.90442666666668,14.8,13.940965122830256
18,21.2,17.22757551494834,16.2,15.347577665451569,15.3,16.15748666666664,15.3,14.263817442829222
19,17.4,15.00880326269936,17.4,16.92797548666542,16.4,15.80490999999998,16.4,15.494268974146692
20,15.4,15.211739466108327,15.1,15.63042402604608,21.2,20.188923333333328,21.2,20.291449852413624
21,17.0,12.14244016781214,17.0,17.20902143788301,27.1,28.292586666666704,27.1,27.259097592821863
22,17.0,12.330138046533364,17.0,16.951567471065232,17.4,17.08393000000002,17.4,16.151146875888724
23,17.1,18.330504602036797,17.1,17.133873435059876,17.5,17.09555666666668,15.4,14.856837733282944
24,15.0,15.84068828118717,15.0,15.061458158437567,15.1,16.94533666666664,17.5,16.686166333428954
25,16.0,13.057745421838433,15.1,15.212426009948357,17.0,16.624826666666667,15.1,14.730968630202394
26,16.0,17.87872621852415,15.0,14.865910147495438,15.0,15.292323333333334,17.0,15.988915728765875
27,18.0,18.476793088296972,16.0,15.714238777301746,15.1,15.287546666666646,17.0,15.634807883405095
28,18.0,17.148348539880033,16.0,16.078906974303603,15.0,14.493530000000003,15.0,14.605406868919683
29,19.0,19.741227782099656,16.6,16.593541421801653,16.0,14.17170333333334,15.1,14.377553823720078
30,19.0,23.615034989368382,18.0,17.41882814512483,16.6,15.783579999999953,15.0,13.706096867254029
31,18.0,17.421666270881985,19.0,18.90508696854578,18.0,18.002123333333344,16.0,14.635036658085202
32,15.0,14.10386814855491,19.0,19.753201874657325,18.0,18.157186666666675,16.0,15.045230534517358
33,17.0,17.9886601364621,18.0,17.874609788191403,19.0,19.186066666666655,16.6,15.15266665276344
34,15.0,11.818921573298155,15.0,15.128120065831572,19.0,19.230779999999996,18.0,17.332326742661394
35,27.0,27.645829111280648,17.0,17.56870401759216,18.0,18.64693333333334,18.0,17.08926201980719
