,LinearRegression_train_true,LinearRegression_train_pred,GradientBoostingRegressor_train_true,GradientBoostingRegressor_train_pred,ExtraTreesRegressor_train_true,ExtraTreesRegressor_train_pred,LinearRegression_GradientBoostingRegressor_ExtraTreesRegressor_train_true,LinearRegression_GradientBoostingRegressor_ExtraTreesRegressor_train_pred
0,29.6,27.354286178736448,29.8,29.60089826407044,29.8,27.713250000000066,29.8,29.781458245054058
1,27.3,34.06312653529173,29.6,29.4927660148501,27.3,27.363093333333367,29.6,29.702361526254393
2,27.0,29.725797154756766,27.0,27.02923392605799,27.0,25.269156666666674,27.3,28.45237237406898
3,26.6,27.62302501000254,26.6,26.38277724124365,26.6,26.169706666666684,27.0,27.794469624108956
4,24.0,24.89495106295458,20.0,20.164551108095164,18.0,17.335730000000005,26.6,27.524194014145458
5,20.0,20.986487115436052,18.0,18.034698809088976,16.0,16.00558000000003,24.0,24.87447746670415
6,18.0,14.06850895972686,17.2,17.454544502785186,11.9,14.016849999999991,18.0,17.354667098245468
7,17.2,18.114995352910487,16.0,16.18200750595995,14.1,13.678093333333324,17.2,17.124611169016386
8,16.0,19.222359678837666,11.9,11.978774696088104,20.0,19.70407333333333,16.0,17.067644215865815
9,20.0,16.977152785782476,14.1,14.321915901367339,20.0,18.92350666666666,11.9,12.424807563923226
10,20.0,19.68393914846249,20.0,19.58856536676577,19.2,18.887116666666653,20.0,19.530777334749832
11,19.2,20.580350380059425,20.0,19.660078673108966,14.3,16.182756666666688,20.0,19.218904300279863
12,14.3,17.22582842721933,19.2,19.095211819414946,16.5,15.554229999999983,19.2,19.321103754046327
13,17.1,15.765810662509981,14.3,14.848342924861,11.0,13.431269999999987,14.3,14.420807743696697
14,16.5,16.501747059215692,17.1,17.024862916312987,27.7,28.107283333333374,17.1,16.858234653933764
15,27.7,29.21592434512664,16.5,15.852648975690636,27.8,28.36677333333332,16.5,15.625049696052937
16,14.8,14.063484985254721,11.0,11.801618853614377,14.8,18.261343333333354,11.0,11.770337510478276
17,15.3,14.910872834973905,27.7,27.917797780478885,15.3,16.01302333333332,27.7,28.504921746487273
18,21.2,13.749229943492413,27.8,27.752063543927214,21.2,20.19156,27.8,28.675566384941845
19,27.1,26.889256001370146,14.8,15.27854470469834,27.1,27.752643333333324,14.8,15.205905078190128
20,16.2,19.420493485527818,15.3,15.625602178067718,17.4,17.19067,15.3,15.117814121596364
21,17.4,15.720757019608389,16.4,16.452493251307587,15.4,15.393060000000006,16.4,16.248549979877787
22,15.4,14.363064191381621,21.2,20.901777254531908,17.5,17.278423333333347,27.1,27.618662059323842
23,17.5,19.040942156110336,16.2,16.075649202988878,15.1,16.926543333333303,16.2,16.43583896803687
24,15.1,20.24076441121331,17.4,17.105410652209585,17.0,16.624030000000015,17.4,16.794359754718798
25,17.0,14.020575190759065,15.4,15.522286361722292,15.0,15.02767666666666,15.4,15.354660378810689
26,17.0,12.230107595494434,15.1,15.566105114221,15.1,15.105046666666674,17.5,17.314082035555685
