,LinearRegression_train_true,LinearRegression_train_pred,GradientBoostingRegressor_train_true,GradientBoostingRegressor_train_pred,ExtraTreesRegressor_train_true,ExtraTreesRegressor_train_pred,LinearRegression_GradientBoostingRegressor_ExtraTreesRegressor_train_true,LinearRegression_GradientBoostingRegressor_ExtraTreesRegressor_train_pred
0,29.6,26.02578008966026,29.8,29.37801325435937,29.8,30.209153333333216,29.8,29.32044356264962
1,27.0,29.988013250137328,27.3,27.536812915463127,27.3,27.227350000000033,29.6,29.338414949679656
2,26.6,30.107026119564296,27.0,26.64346384017923,27.0,26.01976000000004,27.3,28.37500131635587
3,24.0,25.14703731793918,26.6,26.570179148632345,26.6,26.722446666666677,27.0,27.8703476215915
4,20.0,19.485391423285876,24.0,24.046449583347236,20.0,20.06651333333333,26.6,27.390788676350912
5,18.0,14.94224687761789,18.0,17.452429973285536,18.0,17.460549999999994,24.0,24.242814648489087
6,17.2,16.55154325093804,17.2,16.875322944215686,17.2,16.940476666666683,20.0,19.484101306975482
7,16.0,18.24447222201917,16.0,16.307167239489882,16.0,16.956143333333344,18.0,16.29666459217433
8,11.9,15.231431616247733,11.9,11.97033809803538,11.9,13.898469999999989,17.2,16.735957178854335
9,20.0,19.468839719100174,20.0,19.91030869046438,14.1,13.865163333333316,11.9,11.748992240411273
10,20.0,18.067517225705927,20.0,20.735008326555967,20.0,19.86352333333336,14.1,14.572855045724427
11,19.2,20.00028630866825,19.2,19.00230774832589,20.0,19.271516666666653,20.0,18.513451461993377
12,14.3,17.729582390298106,14.3,14.520217267502495,19.2,19.075519999999987,20.0,19.0462884779233
13,17.1,14.317120668779694,17.1,16.73951939715344,14.3,16.416479999999996,14.3,14.978556396542203
14,16.5,14.571018972497995,16.5,16.455580477739773,17.1,17.102993333333334,17.1,16.07593153251681
15,11.0,19.91613464643072,11.0,12.416208270621803,27.7,28.473493333333337,16.5,15.473623457523647
16,27.7,30.318584891318494,27.7,27.867446854841624,14.8,17.720849999999974,11.0,12.419076836417489
17,14.8,15.446191983442475,14.8,15.3095477021721,15.3,16.893506666666678,27.7,29.032547775342685
18,16.4,15.66926741059089,15.3,15.413053197367192,16.4,15.914496666666684,14.8,15.40369005536613
19,27.1,24.120428465972623,27.1,27.325828705097457,21.2,20.593920000000008,15.3,14.903299722993554
20,16.2,18.57199460645859,16.2,15.93266316351535,27.1,29.035320000000045,16.4,15.490821489658504
21,15.4,14.101239844710904,17.4,17.260388680467397,15.4,15.819819999999993,27.1,27.476789769782545
22,15.1,17.68034805792749,15.4,14.988203088183976,17.5,17.084700000000012,17.5,16.303934797358814
23,17.0,13.156677219684099,17.5,17.386513377049166,15.1,16.596939999999982,15.1,16.26825774945142
24,17.0,11.675794001313648,17.0,17.038859863951824,17.0,17.353006666666673,17.0,15.638568098873314
25,17.1,16.16427103443067,17.1,17.06000196501275,17.0,16.319903333333304,17.1,16.287439055900826
26,15.0,17.707026099727898,15.0,15.375599657219343,17.1,17.405809999999992,15.0,14.912633677247616
27,15.1,15.914692932049661,15.1,15.343417498459512,15.0,15.081579999999997,15.1,15.372261774686326
28,15.0,15.601730042674887,16.0,16.095747099593563,15.1,15.142193333333344,15.0,14.329163964695065
29,16.0,12.123057904167752,16.0,15.867320140739846,15.0,13.761263333333343,16.0,15.083746723848254
30,16.6,12.98461129595637,16.6,17.67111331572688,16.0,15.079053333333334,16.0,15.261447881160617
31,18.0,18.567993450024062,18.0,17.452967155590084,16.0,15.872490000000003,16.6,15.750006587255157
32,18.0,18.969682588492077,18.0,18.100808390269332,16.6,16.30622333333332,19.0,19.136931564336074
33,19.0,20.595529009562824,19.0,18.96262179250645,18.0,17.82512333333333,18.0,18.379162193055844
34,19.0,17.805650877362154,19.0,19.83496613381475,18.0,17.934060000000002,17.0,16.28229143589334
35,18.0,18.391860825589163,18.0,18.16883148220566,19.0,18.984773333333354,15.0,14.6411625473113
36,15.0,13.630481746423726,15.0,15.038179230282049,19.0,20.023339999999997,27.0,27.386792567003774
37,17.0,13.587969699982352,17.0,17.166831837478867,18.0,18.640316666666692,17.2,16.36090171481184
38,15.0,13.843514827214534,15.0,15.00351295009961,17.0,17.075406666666666,22.4,23.58443125498201
39,27.0,31.21234584004432,27.0,27.705353812212426,15.0,13.601350000000009,16.1,15.400742073826493
40,17.2,16.074304092007765,17.2,17.10446460131897,27.0,25.72416,32.2,32.13236854649787
41,16.6,18.72536542678,16.6,16.752192845611447,22.4,25.10612333333338,47.2,48.15529146948286
42,22.4,24.76532117483464,22.4,22.599733783443025,22.0,20.753926666666697,0.0,-0.898337221484523
43,22.0,18.09591688879047,22.0,21.661949998276324,16.1,15.812069999999997,19.0,19.53384371620995
44,16.1,14.158352867998389,16.1,16.143114654600694,23.0,23.164706666666685,19.2,19.86057747873279
45,23.0,20.476166134560458,23.0,22.789512389279395,32.2,30.931773333333332,19.0,18.08482600606985
46,32.2,33.731835559667275,32.2,32.13494396355327,47.2,45.983799999999995,20.0,18.48470578649568
47,47.2,48.520836992545924,47.2,46.74462439911794,19.0,19.63724333333331,19.0,19.452779710132038
48,0.0,-0.5796174544312009,0.0,0.3755851618890529,23.0,22.530680000000007,19.8,20.100899222271437
49,19.0,20.37214001499754,19.0,19.33746139100139,35.0,33.19916999999999,4.0,3.1087757615503646
50,19.2,22.84045238542916,23.0,22.682013373953268,19.0,16.243306666666655,38.0,38.985382386785886
51,19.0,17.319109645671176,35.0,35.11358103320497,20.0,18.856593333333333,55.0,54.817196695050555
52,20.0,16.135132497072846,19.2,19.194859035816926,19.0,19.096403333333324,1.0,0.5830459043782699
53,19.0,20.733151633436137,19.0,18.887036056272624,19.8,19.997409999999995,2.0,1.3009564224113412
54,4.0,6.142325969051399,20.0,20.112394401181735,4.0,3.596750000000002,0.7,-0.23489205240354494
55,38.0,35.85392462345311,19.0,19.399631102630895,25.0,26.648373333333335,2.7,2.413822933489508
56,25.0,27.337155599971936,19.8,19.83982720664811,55.0,55.866930000000025,42.0,43.449599195413086
57,55.0,50.00767100482071,4.0,4.244886747896326,1.0,1.5963233333333329,26.0,25.190741246275973
58,2.0,2.486702656094309,38.0,38.11383724904548,2.0,4.315336666666674,16.1,15.592403402349035
59,42.0,40.5370687458433,25.0,25.267535156463545,40.0,35.08780999999993,5.0,4.433703155197139
60,26.0,24.890375726234538,55.0,54.13560552129876,2.7,4.9829900000000045,32.0,32.13324785530854
61,33.8,35.03247762676162,2.0,2.039345338284636,42.0,42.87684999999995,31.0,31.606850848541068
62,16.1,15.86041326134216,40.0,39.524880310067644,26.0,25.839600000000008,29.7,29.1203039913245
63,16.0,20.176138824970423,0.7,0.7626222172809674,33.8,33.442699999999995,12.0,13.497390090492285
64,32.0,32.423212677968536,26.0,26.058969310960773,16.1,17.454786666666628,16.4,16.10385450653597
65,31.0,32.332360690723874,33.8,33.79315928737172,5.0,5.173173333333338,2.3,1.821401369706217
66,29.7,30.86813281532045,5.0,5.6061149205060055,16.0,16.914476666666655,23.0,21.286789845488908
67,12.0,23.679210850830742,32.0,31.729330901726062,32.0,31.891009999999927,9.0,10.139968918596388
68,16.4,15.545225682793273,31.0,30.76304686927508,31.0,30.32663333333337,50.0,50.98510026925105
69,2.3,1.2548046298689712,29.7,29.76341730187587,29.7,29.20643999999996,19.0,17.91477874279429
70,4.4,9.264070382144808,12.0,13.144750582434032,12.0,15.77894,21.0,22.200167609546604
71,5.0,4.9295775164902125,16.4,16.774737157258496,16.4,17.666359999999997,13.0,12.204676075754318
72,23.0,17.2683396963817,2.3,2.4640873272242283,2.3,4.220616666666656,16.8,16.106397037691693
73,33.0,31.30447735847261,4.4,4.8046371716693805,4.4,6.4235433333333285,0.0,-1.1424932575767175
74,9.0,11.238598168114635,5.0,5.388420359775062,5.0,4.581096666666667,5.0,5.864529535497303
75,50.0,45.262858254981495,23.0,22.633358676658844,23.0,22.20451333333332,10.0,9.148245280412286
76,19.0,12.986942389848622,9.0,9.288131999826312,9.0,9.505133333333331,10.5,10.615849977323785
77,8.0,10.282287181832658,8.0,8.450817297262102,50.0,46.878829999999994,5.0,4.483611747597152
78,21.0,28.07600246330668,17.1,16.417257009701643,8.0,9.293396666666673,10.0,8.187668956749766
79,17.1,17.527114719283304,13.0,13.66750651995336,21.0,24.708,3.0,2.0107089591557608
80,13.0,6.306072325255627,16.8,16.76370879995726,17.1,16.48624000000001,0.1,0.28123697258063873
81,0.0,-2.560953653657947,10.0,9.984702498894888,13.0,12.427853333333347,34.0,34.70268177993432
82,5.0,8.762021184080083,55.0,54.431562555042845,0.0,1.0637966666666672,39.0,38.60453653405753
83,10.0,10.944016317156809,17.5,17.550595829688202,5.0,8.176456666666667,16.0,15.93489150732223
84,55.0,51.210983484897554,5.0,5.403424290831233,10.0,10.188706666666652,50.0,50.84150708476581
85,17.5,14.713125759791865,10.0,8.925618064150676,55.0,56.067366666666665,6.0,5.97421526571332
86,10.5,13.748586934830882,3.0,3.5695715854354204,5.0,5.954603333333348,0.0,-0.4290261992652925
87,10.0,9.044878000678295,0.1,0.4826558744003372,10.0,7.089910000000019,33.1,33.567037505702274
88,3.0,2.6186056302784664,3.3,3.3987938698420175,3.0,3.6883266666666716,40.0,40.72521208636991
89,0.1,3.196827310273875,39.0,37.9992870731919,0.1,1.8766133333333326,30.0,30.10444743603425
90,3.3,0.541382768354481,16.0,16.349291295873257,34.0,35.48772999999995,16.0,14.6078812894791
91,39.0,38.1637564477025,50.0,50.39070386530362,3.3,3.153013333333338,32.0,31.913491186415012
92,16.0,20.099137279526587,6.0,6.480345773811224,39.0,36.148959999999995,61.0,61.34876774339632
93,50.0,48.75495686089181,0.0,0.870809492894848,16.0,16.165963333333337,32.0,31.51121148046774
94,6.0,3.228078901766736,33.1,33.036183757244096,6.0,7.925423333333333,15.0,15.188981322265441
95,33.1,34.430060033823764,40.0,39.80233219871321,0.0,3.1189233333333375,23.7,24.082093455106502
96,40.0,38.46587107972158,30.0,29.6613134182983,33.1,33.59490666666662,0.0,0.21377359222128156
97,30.0,29.452613578440094,16.0,15.954831879408868,40.0,41.713073333333284,44.0,45.201562774471725
98,32.0,29.70631224567194,32.0,31.501606457082346,30.0,28.633966666666655,41.0,41.3281426775459
99,61.0,52.708555558303146,61.0,55.03365538273896,16.0,14.066386666666654,11.0,10.818512752597725
100,15.0,15.94891945366146,32.0,31.59815465121161,61.0,56.31529333333333,2.7,2.4275276864028967
101,23.7,27.61172053347977,23.7,23.62046341996528,32.0,34.92882999999992,2.3,2.6368582668412563
102,0.0,6.764767243980032,0.0,0.19524364480362588,15.0,15.07881666666668,24.0,22.74436003008553
103,11.0,12.626598666531521,44.0,43.42332161573527,23.7,26.672536666666687,3.1,2.820565680292826
104,2.7,0.8442777197439852,41.0,40.31168497666303,0.0,3.151443333333337,9.4,8.802063132518828
105,2.3,4.797866487921766,2.7,3.126656487867467,41.0,36.30536666666659,35.9,35.83315258137779
106,3.0,1.4172875256676036,2.3,2.6909923801968207,11.0,12.585626666666672,2.0,1.1800939266007777
107,3.1,1.3544916602443209,3.0,3.1597065320877475,2.7,5.787699999999992,50.0,51.485070046309104
108,2.0,-0.4460193496748843,24.0,23.66737802531832,2.3,4.3781299999999925,18.1,18.135602285486335
109,50.0,50.249986824651785,9.4,9.439510236350273,3.0,2.9327966666666714,14.6,14.303000167783042
