,LinearRegression_train_true,LinearRegression_train_pred,GradientBoostingRegressor_train_true,GradientBoostingRegressor_train_pred,ExtraTreesRegressor_train_true,ExtraTreesRegressor_train_pred,LinearRegression_GradientBoostingRegressor_ExtraTreesRegressor_train_true,LinearRegression_GradientBoostingRegressor_ExtraTreesRegressor_train_pred
0,29.6,25.993854165468065,29.8,30.007819254903094,29.8,30.258710000000033,29.6,28.90941012052658
1,27.3,33.61386427288073,29.6,29.330859707134387,29.6,30.070126666666617,27.3,27.685661254395484
2,27.0,27.311705926648983,27.3,26.973050761841566,27.0,25.53137666666667,27.0,26.788288114833342
3,26.6,28.830823265915683,27.0,26.894645981945832,26.6,26.13808666666667,24.0,23.729365833486035
4,24.0,22.6691852625072,26.6,26.29375911570127,24.0,24.264813333333326,20.0,19.563332161259975
5,20.0,22.63932731031946,24.0,24.205815563159124,20.0,20.145723333333322,18.0,16.88026658724114
6,18.0,13.557984709200014,20.0,19.796989360275255,17.2,16.81268666666665,17.2,16.945677884571854
7,16.0,23.1993130523756,16.0,15.93533769406847,16.0,16.9454,16.0,15.981336465684905
8,14.1,17.040990749979187,11.9,12.01772054242306,11.9,12.218573333333316,11.9,11.935632255457193
9,20.0,19.170255893776698,14.1,14.009868594163777,14.1,13.63997333333334,14.1,14.137049013493861
10,20.0,20.728978354948822,20.0,19.997068840074594,20.0,19.57429666666665,20.0,19.210374784937724
11,17.1,14.934448781248648,20.0,20.011779742537417,20.0,19.01651333333333,19.2,18.88607729432001
12,11.0,18.96235436694974,14.3,14.58490738042505,14.3,16.465206666666685,14.3,14.284565522780047
13,27.7,30.446603542444223,17.1,16.90021512829957,16.5,15.403373333333326,17.1,16.59408244725749
14,27.8,28.789798844941743,16.5,16.454793683218384,11.0,13.069593333333339,16.5,16.14281100175469
15,14.8,14.799999999998363,27.8,27.671391604931145,27.8,27.626226666666614,27.7,27.93461512069188
16,15.3,16.876651936737744,15.3,15.465324069581166,15.3,16.444373333333342,14.8,14.653440243124455
17,16.4,17.169068866783732,16.4,16.179659285329635,16.4,16.447293333333324,15.3,15.090895891931243
18,21.2,14.399545814461476,21.2,21.624768096459018,21.2,19.93625666666664,16.4,15.778025415371662
19,17.4,13.295573267539794,27.1,27.119437976352685,27.1,28.974579999999968,21.2,20.027543339059505
20,15.4,15.730354031534489,17.4,17.459032848129254,17.4,17.333189999999984,16.2,16.128040646594123
21,17.5,16.785002570890242,15.4,15.78253911340586,15.4,15.344626666666692,17.4,16.695685279827035
22,15.1,17.51645516494841,17.5,17.292522073183182,17.5,17.42606333333334,15.4,14.85434570819084
23,17.0,13.147269726274885,15.1,15.620062901265722,15.1,16.44669,17.5,16.965125508038366
24,17.0,12.9258471664632,17.0,16.911308401601428,17.0,17.281099999999984,15.1,15.61737629812368
25,17.1,17.24922240045703,17.0,16.866630007122293,17.1,17.273946666666657,17.1,16.560570462404687
26,15.0,11.11037878763068,17.1,17.2106616645326,15.0,14.51531666666665,15.1,15.289449751886625
27,16.0,15.03286518327161,15.0,15.60768866197998,16.0,14.727513333333327,15.0,14.602032368234989
28,16.6,13.828616972756322,15.1,15.35935957817394,16.0,15.745609999999983,16.0,15.17013136721832
29,18.0,18.790056147029873,15.0,14.949345939556071,16.6,16.06794333333336,16.0,15.470877411159197
30,19.0,21.589339259651524,16.0,15.661415911432373,18.0,17.692873333333317,16.6,15.8613044791737
31,19.0,20.17291447482114,16.0,16.1646030191228,19.0,19.642183333333346,18.0,17.01179432713596
32,18.0,19.898278078534986,16.6,16.686341367371266,19.0,19.885146666666667,19.0,18.97665471229488
33,15.0,14.198409627335764,18.0,17.817832410633677,18.0,19.06748,18.0,17.971876277707544
34,17.0,16.0386158796249,18.0,17.64501829342384,15.0,14.34776666666664,17.0,16.388536268684774
35,15.0,11.581927831061762,19.0,19.158718853256676,15.0,14.204066666666636,15.0,14.578079157447117
36,27.0,31.769940371507232,19.0,19.81601646374397,27.0,26.11825999999998,27.0,26.761826099207635
37,17.2,18.788011667581372,18.0,17.976038678310097,17.2,17.92066666666668,17.2,17.05519398286984
38,16.6,16.302268153569344,15.0,15.056638265117815,16.6,17.40946333333335,16.6,16.504196964639515
39,22.0,18.84926663246847,17.0,17.315605542847965,22.4,24.86808,22.4,23.050621763623013
40,16.1,14.337574768505078,27.0,26.521211727915745,22.0,20.999573333333345,16.1,15.098267234597822
41,23.0,21.312503623620273,17.2,17.172581103484536,23.0,22.438269999999974,23.0,22.3411343542846
42,32.2,33.752614797732235,16.6,16.59419841664642,32.2,31.0334966666666,47.2,46.41211225669897
43,47.2,47.08963068497519,22.4,23.140199191294464,47.2,45.12542000000001,0.0,-0.5180516039504679
44,0.0,-1.1679519467249975,22.0,21.347717175202476,0.0,2.029513333333329,19.0,19.12615011098131
45,19.0,18.847492611779444,23.0,23.22103374549352,19.0,19.91529333333333,23.0,21.965903039568857
46,35.0,32.442958949466856,32.2,31.817070978155723,19.2,19.813129999999976,35.0,34.79874126761089
47,19.0,16.63944077861322,47.2,47.0699933796523,19.0,19.026756666666657,19.2,19.698741092045548
48,19.0,22.766895539177995,0.0,0.47247197081444137,20.0,18.69879666666663,20.0,18.4182715365386
49,19.8,18.837947833030512,19.0,19.27522374489307,19.0,19.890419999999978,19.0,19.201972957903394
50,4.0,5.146631276520225,23.0,22.724637001759618,19.8,21.03062999999997,19.8,19.587791848101546
51,38.0,34.1035123130232,35.0,34.890994676306704,4.0,2.7691366666666677,4.0,3.695039555541541
52,25.0,26.263055737026434,19.0,17.98573331588703,38.0,38.60760999999994,38.0,37.77239744509287
53,55.0,48.962324748526726,19.0,19.376116455830413,1.0,1.7182199999999985,25.0,25.41468438464551
54,40.0,39.66709925033615,4.0,4.189661912397184,40.0,35.350613333333335,55.0,54.30807351242207
55,0.7,-0.7222788226243892,38.0,38.943293258907886,0.7,1.7160899999999975,2.0,1.5953426797272705
56,2.7,4.945885723151605,1.0,1.0713297341611496,2.7,7.277856666666673,40.0,39.23653697395175
57,42.0,44.09428229284151,2.0,2.248337619520422,33.8,33.03118333333341,0.7,0.42886171372827164
58,26.0,23.231765878904184,40.0,39.38108039964416,16.1,16.667843333333327,2.7,2.5189285027387385
59,33.8,32.305802962168855,0.7,1.0062497277029792,16.0,16.565866666666633,26.0,25.161317087161727
60,16.0,16.886505575435763,2.7,3.276899882209104,32.0,32.137996666666666,33.8,33.50229661792581
61,32.0,32.64809880132259,42.0,42.38266229517617,31.0,29.44270999999998,16.1,15.763418858143744
62,31.0,34.766563345767736,26.0,25.72386258951254,29.7,29.273663333333296,5.0,5.018464716446595
63,29.7,31.20623334378911,33.8,33.49512229280428,12.0,15.76269333333336,16.0,15.968053023378882
64,12.0,23.16472334425248,16.1,16.395110050940566,16.4,17.055553333333336,32.0,31.910134812627952
