,LinearRegression_train_true,LinearRegression_train_pred,GradientBoostingRegressor_train_true,GradientBoostingRegressor_train_pred,ExtraTreesRegressor_train_true,ExtraTreesRegressor_train_pred,LinearRegression_GradientBoostingRegressor_ExtraTreesRegressor_train_true,LinearRegression_GradientBoostingRegressor_ExtraTreesRegressor_train_pred
0,29.8,27.928083173506877,27.3,27.645664380958422,29.8,27.26315666666668,29.8,29.542174980043605
1,29.6,28.44072900494143,27.0,26.664511481825464,29.6,29.705863333333358,29.6,29.696394728134077
2,27.3,30.569362228183195,24.0,23.980522304301562,27.0,25.34890666666665,26.6,27.68327682090615
3,27.0,26.57161362701612,20.0,19.843711786288253,26.6,26.258239999999997,24.0,24.20590049165215
4,26.6,29.030519683246894,18.0,17.10350568723993,24.0,24.742253333333345,20.0,20.560084856648412
5,24.0,23.281846231991494,17.2,17.093927697161376,20.0,19.957209999999996,16.0,15.853773004586976
6,20.0,20.05584700930251,16.0,16.323267137435835,18.0,17.361429999999988,11.9,11.383612066853443
7,17.2,15.839259254613182,11.9,12.372319726298995,17.2,16.767996666666665,14.1,13.975512110653973
8,16.0,21.65360741741955,14.1,14.411438598766743,16.0,17.459800000000005,20.0,19.161300840236116
9,11.9,13.957175376952762,20.0,19.924823014529455,11.9,14.295293333333293,20.0,19.690207240590222
10,14.1,16.04934010560504,14.3,14.384075755839056,14.1,13.887969999999974,14.3,14.033381946560894
11,20.0,20.08614019985282,17.1,16.827380110190862,20.0,20.538973333333324,16.5,15.484907192501783
12,19.2,20.919627195728935,16.5,16.28465069236468,20.0,18.877169999999996,11.0,11.224855369960967
13,17.1,15.473652640410705,11.0,12.131379780852992,14.3,16.15204000000001,27.7,28.86361455579679
14,16.5,12.073612760074127,27.7,27.628321841548804,16.5,15.530809999999988,27.8,28.71894932330088
15,11.0,17.06419532968357,27.8,27.70589544337893,11.0,13.129103333333322,14.8,14.602531160695957
16,27.7,31.091110474493235,14.8,15.322237073408587,27.7,28.20609666666667,15.3,14.52460030480903
17,27.8,29.34519664599486,15.3,15.135044688180438,27.8,27.89875666666664,16.4,15.136246103066892
18,15.3,16.349776297103404,16.4,16.62025656293825,14.8,17.837066666666672,21.2,19.978983514619138
19,16.4,14.639125443331409,27.1,27.247362357851753,15.3,15.87082666666666,27.1,27.067216072540443
20,21.2,17.58675903804874,16.2,16.32585516127514,16.4,16.123490000000015,16.2,15.416158051198227
21,17.4,13.361132196532594,17.4,17.243107479015716,21.2,20.45650666666664,15.4,14.759903250389492
22,15.4,15.222972411581736,15.4,15.464037064614313,27.1,28.59025000000004,15.1,15.168930293595437
23,17.5,17.710552123196976,17.5,17.247641714987367,17.4,17.17498333333332,17.0,16.24775213336078
24,15.1,17.245275346865355,15.1,15.234845205097267,15.4,15.734316666666661,17.0,15.557524614529104
25,17.0,14.175406289275031,17.0,17.246424054181585,17.5,17.205719999999985,17.1,16.460286164270734
26,17.0,12.651476729161004,15.0,15.063307460771192,15.1,16.20304999999996,15.0,14.595907799015887
27,17.1,17.839532793852072,15.1,15.570344255813326,17.0,17.287779999999998,15.1,14.513669312161511
28,15.0,18.015274680604136,15.0,15.07195398270081,17.1,18.09073999999998,15.0,14.18608635409684
29,15.1,16.83589135328225,16.0,15.712330266833249,15.0,15.002539999999993,16.0,14.87705516537551
