,LinearRegression_train_true,LinearRegression_train_pred,GradientBoostingRegressor_train_true,GradientBoostingRegressor_train_pred,ExtraTreesRegressor_train_true,ExtraTreesRegressor_train_pred,LinearRegression_GradientBoostingRegressor_ExtraTreesRegressor_train_true,LinearRegression_GradientBoostingRegressor_ExtraTreesRegressor_train_pred
0,29.6,25.39105427816571,29.8,29.413584686255263,29.8,29.524923333333312,29.8,29.433364749333013
1,27.3,33.03179966147593,29.6,29.48986727323691,29.6,29.94958333333338,27.3,28.05988528145733
2,27.0,28.291118315147855,24.0,23.725365698816574,27.3,26.92194000000001,27.0,27.468441293617847
3,26.6,27.50758004468895,20.0,20.00657321730774,27.0,25.242966666666664,26.6,26.41129481688535
4,24.0,24.390477529100565,18.0,17.72847092885167,24.0,24.657070000000033,24.0,24.997182607828435
5,18.0,13.618158768284331,17.2,17.26499085856046,20.0,20.14427666666663,20.0,20.18100414728971
6,16.0,20.331691054862517,16.0,15.948652719322476,18.0,17.526266666666654,18.0,16.152160616903725
7,11.9,15.65714684372773,14.1,14.312791537315025,17.2,16.66961000000001,11.9,12.00397232509152
8,14.1,16.267250098974102,20.0,19.502664956806758,16.0,15.860670000000022,19.2,19.50792185289804
9,20.0,19.961863976413724,20.0,19.904428991294967,11.9,11.843346666666706,14.3,14.904179018392847
10,20.0,20.807186125416308,19.2,18.720959642017707,20.0,19.767136666666666,16.5,15.417706604931013
11,19.2,20.332990239565447,14.3,15.737586564504882,20.0,19.943609999999993,11.0,12.77686115063419
12,14.3,17.691718187292622,17.1,17.189119187524224,19.2,18.662509999999994,27.7,28.92817703192886
13,17.1,12.943291487579415,16.5,16.487066824759186,17.1,16.842600000000004,14.8,15.652614609242995
14,27.7,30.193275513075605,11.0,12.100722380823578,16.5,15.75999666666666,15.3,14.53136376875173
15,15.3,17.389336689369486,27.7,27.965226748921847,11.0,13.063169999999989,16.4,16.0466141514293
16,16.4,15.787373776516006,27.8,27.692960776502485,27.7,28.19675000000003,21.2,20.125488192067806
