,LinearRegression_train_true,LinearRegression_train_pred,GradientBoostingRegressor_train_true,GradientBoostingRegressor_train_pred,ExtraTreesRegressor_train_true,ExtraTreesRegressor_train_pred,LinearRegression_GradientBoostingRegressor_ExtraTreesRegressor_train_true,LinearRegression_GradientBoostingRegressor_ExtraTreesRegressor_train_pred
0,29.6,23.373230096580016,29.6,29.3998882749417,29.8,26.258510000000005,29.8,30.24477016173524
1,27.3,32.35456978705639,27.3,27.10078069125671,27.0,25.048189999999973,29.6,29.703326474460226
2,27.0,29.1684146371349,27.0,26.518986998422044,24.0,24.450486666666627,27.3,28.513800149117245
3,26.6,28.956220171106963,26.6,26.64725208631466,20.0,20.155583333333333,27.0,27.813618313836983
4,24.0,26.632781715320846,24.0,24.454705847144968,18.0,17.77371000000001,26.6,27.560580784575205
5,20.0,20.08299057213577,20.0,20.19247400029253,16.0,15.854173333333335,20.0,20.1018395530742
6,18.0,13.03813297354202,18.0,17.750955236851716,11.9,14.362029999999997,18.0,17.156701984736912
7,17.2,18.56230030342533,16.0,16.24564201506617,14.1,14.541139999999995,17.2,16.452439056200813
8,16.0,19.45631234517424,11.9,12.143184462573897,20.0,19.23291,16.0,16.104079641102157
9,11.9,13.965180759351142,14.1,14.19754718892828,20.0,19.36133000000003,11.9,11.714492153927223
10,14.1,15.918724097826498,20.0,19.740319844122478,19.2,18.650420000000008,14.1,13.918588325003011
11,20.0,16.51728445287074,20.0,20.006003859906553,14.3,16.30117333333334,20.0,19.174499804455497
12,20.0,19.49479641061697,14.3,14.730569624471215,17.1,16.98262666666669,20.0,20.179259457770502
13,19.2,19.507242317446867,17.1,17.03437186535694,16.5,15.658253333333336,19.2,18.87411522706069
14,14.3,16.907845603560702,16.5,16.370496711656337,11.0,13.092636666666655,17.1,15.954677326285566
15,17.1,15.165062719783919,11.0,12.126653285702533,14.8,18.52498666666665,16.5,15.382323909702404
16,16.5,14.480825181790351,27.7,28.379178807686177,15.3,16.059399999999982,11.0,11.489010390503118
17,27.7,28.78784098289242,14.8,15.288260098590973,16.4,16.382560000000005,27.7,28.776464295310742
18,27.8,30.93096223954575,15.3,15.336264728964853,27.1,28.515413333333278,27.8,28.917009863261292
19,14.8,15.2170376587992,16.4,16.328324391914713,17.4,17.15467333333332,14.8,14.489030881983751
20,16.4,15.998091433274794,21.2,20.915906276468657,15.4,15.581740000000014,15.3,14.492810275145207
21,27.1,23.978344647742176,16.2,15.903162724695282,17.5,17.204566666666665,21.2,20.42314105760453
22,16.2,21.603019721223347,17.4,17.53079478081463,15.1,16.590520000000005,16.2,16.0115169705929
23,17.4,13.780992119834536,15.4,15.524281357466021,17.0,16.255156666666647,17.4,16.308399201373792
24,15.4,8.526149415112798,17.5,17.595158061326824,17.1,17.100513333333332,15.4,14.238633588641637
25,17.5,17.69893902365709,15.1,15.880378088824186,15.0,15.152003333333337,15.1,15.389103215712652
26,15.1,20.440598999265546,17.0,16.896656436569444,15.0,14.296393333333318,17.0,16.285306268493553
27,17.0,13.109999506488975,17.0,16.75753909827524,16.0,15.166313333333319,17.0,15.84853150712921
28,17.0,13.156415078988573,15.0,14.764085659398294,16.0,15.098003333333324,17.1,16.348138984005555
29,17.1,17.51397793765426,16.0,16.046735257237405,16.6,16.169366666666704,15.0,15.22777773295396
