,LinearRegression_train_true,LinearRegression_train_pred,GradientBoostingRegressor_train_true,GradientBoostingRegressor_train_pred,ExtraTreesRegressor_train_true,ExtraTreesRegressor_train_pred,LinearRegression_GradientBoostingRegressor_ExtraTreesRegressor_train_true,LinearRegression_GradientBoostingRegressor_ExtraTreesRegressor_train_pred
0,29.8,24.07812984182216,29.8,29.67508581567625,29.6,30.088776666666668,29.8,29.605747841323154
1,29.6,23.776214197807533,29.6,29.525034798248853,27.3,26.228093333333387,29.6,29.399363520337005
2,27.0,29.276137592638932,27.3,27.455873514006743,24.0,22.975606666666682,27.0,26.956300184630198
3,26.6,29.40095866744484,27.0,26.767386674018393,20.0,19.87403666666665,24.0,23.75721207342476
4,24.0,24.629731254424385,26.6,26.71072502885149,17.2,17.46131333333335,20.0,19.547934912047616
5,20.0,22.171924965989447,18.0,17.484028051619546,16.0,17.28867333333331,18.0,17.185181436819782
6,18.0,16.071063666108984,16.0,16.518938755981576,14.1,14.925043333333278,11.9,11.001475331756925
7,17.2,19.498799945292618,11.9,12.349475122103502,20.0,20.54549,14.1,13.264512458589596
8,16.0,20.932754513074883,20.0,19.735111482376766,20.0,18.880353333333336,20.0,19.384412879695905
9,11.9,12.765559570932538,20.0,19.711763094004578,19.2,19.453953333333313,19.2,18.708974212851835
10,14.1,17.220226388697938,19.2,19.31269014554562,14.3,16.311259999999997,14.3,13.508319620859362
11,20.0,19.798738064491275,14.3,14.715293469665413,17.1,16.585976666666657,17.1,16.24049497379356
12,14.3,16.497181673615458,17.1,16.917281421275252,11.0,12.305933333333327,16.5,15.637786644735947
13,17.1,15.860153054208197,16.5,16.020998712940578,27.7,27.87442333333333,11.0,10.21025887422888
14,16.5,15.141840410580798,11.0,12.17572354723648,27.8,27.59669333333331,27.7,27.696750073141153
15,27.7,27.882797667036527,27.8,27.97059249926695,14.8,16.774676666666668,27.8,27.747062639898466
16,27.8,30.561128647495536,14.8,15.375238278579245,15.3,15.497256666666654,14.8,14.166525363885206
17,14.8,17.92936313081374,15.3,15.235427376641136,21.2,20.61333333333333,16.4,15.63722798766938
18,15.3,15.439632338979735,16.4,16.337014421334125,27.1,28.61927000000003,21.2,20.528225350994564
19,16.4,16.101354956839685,21.2,21.175961601093615,16.2,15.859366666666686,16.2,15.474415310690372
20,21.2,16.072819240077877,27.1,27.167926166711755,17.4,17.067203333333342,15.4,14.571272776642218
21,16.2,19.244739700533373,16.2,15.85491150660485,15.4,15.552756666666594,17.5,16.783884829157515
22,15.4,13.267135408056134,15.4,15.67178308025604,17.0,17.295880000000025,15.1,14.61381029599513
23,17.5,17.896551820199974,17.5,17.393273853831687,17.0,16.46918,17.0,16.17916648051572
24,15.1,20.31523688543868,15.1,15.455052836605377,17.1,17.22608000000001,17.0,16.134058904665483
25,17.0,12.567815300370953,17.0,16.90313040577984,15.0,15.243753333333359,17.1,16.36333363614831
26,17.0,12.019384470812255,17.0,16.69172544387407,15.0,14.323046666666686,15.0,14.296776280945318
27,15.0,17.46975084389784,17.1,16.96756509670964,16.0,15.100400000000016,15.1,14.4656171768337
28,15.0,15.291230426580015,15.0,15.426003481481764,16.0,15.791833333333345,15.0,14.080238554089298
29,16.0,11.047922435603624,15.1,15.234223378203872,18.0,17.660943333333353,16.0,14.986757018260871
30,16.6,12.539366661019898,15.0,15.280199479116595,18.0,17.746286666666684,16.0,15.08679231248172
31,18.0,18.881000696185794,16.0,15.275871721217422,19.0,19.725079999999988,16.6,15.674405803918841
32,18.0,17.851416935219675,16.0,15.74750140385665,19.0,20.029403333333313,18.0,17.239363750543
33,19.0,20.063157738176884,16.6,16.591014248495167,15.0,13.463710000000015,18.0,17.14939411201791
34,19.0,18.625359413779535,18.0,17.343237434159054,17.0,16.724790000000002,19.0,18.46830388444667
35,18.0,18.85884203215116,19.0,18.699488745413987,27.0,28.97677666666667,19.0,18.46797476023013
36,15.0,13.533207655283348,19.0,19.773909909819746,16.6,16.84179000000001,18.0,17.449925703901012
