,LinearRegression_train_true,LinearRegression_train_pred,GradientBoostingRegressor_train_true,GradientBoostingRegressor_train_pred,ExtraTreesRegressor_train_true,ExtraTreesRegressor_train_pred,LinearRegression_GradientBoostingRegressor_ExtraTreesRegressor_train_true,LinearRegression_GradientBoostingRegressor_ExtraTreesRegressor_train_pred
0,29.8,26.028216729604083,29.8,30.094557150340762,27.3,27.058470000000035,29.8,29.683988716859503
1,27.0,28.47863298106165,29.6,29.40108433479016,27.0,24.85509333333333,29.6,29.40331775889552
2,26.6,27.61751472670636,27.3,27.218159787005618,20.0,20.39036333333334,27.3,28.08147659987657
3,24.0,24.733435268280004,26.6,26.305144153839503,18.0,17.772213333333333,27.0,27.43426989979569
4,20.0,21.919485362445357,24.0,23.880930101709428,17.2,17.33816666666666,26.6,27.10834385916449
5,16.0,21.697618466015797,20.0,19.904127547082826,16.0,16.42748000000001,24.0,24.37866000800758
6,11.9,13.100179894833786,18.0,17.767524457060215,11.9,14.197026666666654,20.0,20.378394257587484
7,14.1,18.71463230278181,17.2,17.101997334187526,20.0,19.264239999999983,18.0,17.67942754031955
8,20.0,19.59263783878737,16.0,16.33985394714302,19.2,18.972013333333326,11.9,12.477393368735163
9,19.2,20.014160461320785,11.9,11.897601649932783,14.3,16.40648000000001,14.1,14.376433902086893
10,14.3,15.709288684874991,14.1,14.25397067330196,17.1,17.175459999999998,20.0,19.963554810579662
11,17.1,13.062027145821844,19.2,19.114505749931915,16.5,16.391953333333344,19.2,19.385149025805124
12,16.5,15.56735018475996,14.3,14.315502593811429,27.7,27.852759999999996,14.3,14.834575926585009
13,11.0,16.695404951190312,17.1,16.925990563459962,27.8,28.17484,16.5,16.206751904316512
14,27.7,30.66779029949413,16.5,16.179043440761582,14.8,18.19067333333333,11.0,11.600259319227716
15,27.8,29.508098465602984,11.0,12.041541009447181,15.3,15.539296666666662,27.7,28.340346398546906
16,14.8,17.7414546876783,27.7,27.875908193938695,21.2,20.135843333333323,27.8,28.289221928369678
17,15.3,17.470430472602743,27.8,27.69007759636158,16.2,15.727750000000004,14.8,14.932371788519958
18,16.4,14.434173076395837,14.8,15.288657053463558,15.4,15.59002333333335,15.3,15.425218707864621
19,21.2,16.154680336698505,16.4,16.174486583908323,17.5,17.043033333333323,16.4,16.706257411986474
20,27.1,28.507702064634714,21.2,21.34737643795606,15.1,17.733310000000014,21.2,21.033691984713112
21,16.2,19.59192594414594,27.1,27.267111488726233,17.0,17.149593333333318,27.1,27.312857875850792
22,17.4,16.19050144283392,16.2,15.975216383890924,17.0,16.23644333333333,16.2,16.626118785201655
23,15.4,14.145116859104405,17.4,17.131736709335346,17.1,17.339276666666652,17.4,17.1083936509728
24,17.5,18.1440677582317,15.4,15.609868326311442,15.0,15.671713333333338,15.4,15.369007131028331
25,15.1,22.056845476584215,17.5,17.56534277913356,15.1,15.066209999999984,17.5,17.6926359693031
26,17.0,13.914696135697852,15.1,15.779538981281584,15.0,14.47231666666666,15.1,15.408618504149482
27,17.0,12.28626640254015,17.0,16.895239039849677,16.0,14.567366666666672,17.0,16.911825808133244
28,17.1,18.672125434352665,17.0,16.606786634613236,16.6,16.119390000000045,17.0,16.726946928440093
29,15.0,16.778940980436573,17.1,17.081471828793998,18.0,17.85130666666666,17.1,17.215831094222377
30,15.1,17.9730383386148,15.0,15.541880982156565,18.0,17.913839999999983,15.0,15.31532602060666
31,15.0,17.91195511313424,15.1,15.351303391968123,19.0,19.469083333333348,15.0,14.615341329152072
32,16.0,13.07479539729735,15.0,14.953382261613031,19.0,19.39626333333334,16.0,15.639021782210559
33,16.0,10.18210222126288,16.0,15.861144701715775,18.0,18.80119333333335,16.0,15.872800783664452
34,16.6,12.089969181704873,16.6,16.648632367877276,15.0,14.360046666666655,16.6,16.100710129651738
35,18.0,18.591148971255166,18.0,17.76061181668316,15.0,14.30408333333332,18.0,18.132507982349313
36,18.0,17.117616448541924,18.0,17.63910859853343,27.0,25.87640333333337,18.0,18.102371167108856
37,19.0,20.438704764772297,19.0,18.620874709755295,17.2,19.132659999999973,19.0,19.231839338554707
38,19.0,21.56814735556884,19.0,19.668490009507,16.6,17.826176666666676,19.0,19.08451422435196
39,18.0,17.69074418069914,18.0,17.92062296549735,22.4,25.18531666666668,18.0,17.993625088191404
40,15.0,14.138856162267302,17.0,17.535608226028582,22.0,20.805959999999985,15.0,15.20605273299498
41,17.0,17.216319317745956,15.0,15.211379487492888,16.1,15.43160000000003,17.0,17.31645396434408
42,27.0,29.244310999833317,27.0,27.443719021945654,23.0,22.808256666666683,15.0,14.717674346825286
43,17.2,18.136675917451726,16.6,16.460192307586563,32.2,31.12296000000003,17.2,17.67103351256538
44,16.6,18.62733963730284,22.4,22.841792673821047,47.2,44.780276666666644,22.4,23.278222409587322
45,22.0,20.10082485214963,22.0,21.62773219658436,0.0,1.6842566666666656,22.0,21.74636034273548
46,16.1,12.186732066756576,16.1,15.923121324356005,19.0,20.110356666666664,16.1,15.902909669588638
47,32.2,33.911574794956834,23.0,23.368980887163215,35.0,33.91494000000003,23.0,23.073021102374902
48,47.2,48.77938639136795,32.2,31.77744785386735,19.2,19.27861666666667,32.2,32.33751829863562
49,19.0,21.220663955714258,19.0,19.307556410708376,20.0,18.90432000000003,47.2,47.67268213171684
50,23.0,21.818920491976655,23.0,22.617377152577056,19.8,20.28503666666664,0.0,-0.5244328140123022
51,35.0,34.10451274843092,19.0,19.16606811303702,4.0,3.568340000000005,19.0,19.40771881619758
52,19.2,23.741473101125735,20.0,19.37490079608237,38.0,38.69182999999992,23.0,23.226970348750807
53,19.0,15.623930390206283,19.0,19.35826133933564,25.0,26.586803333333336,35.0,35.39192629275962
54,20.0,14.635911661674868,38.0,38.15694103870041,55.0,55.212936666666565,19.2,19.93935225754603
55,19.0,21.60864869105808,25.0,25.274761360276674,1.0,1.9334566666666664,19.0,18.846286767605637
56,19.8,18.88604044930679,1.0,1.4353245200809992,2.0,4.431313333333336,20.0,19.547544029805124
57,38.0,36.566867402607556,2.0,2.4713714448834403,40.0,33.558566666666685,19.0,19.506257147988904
58,25.0,28.341206627248084,40.0,39.264634725731106,0.7,1.7574866666666675,19.8,19.99157782307993
59,55.0,46.39954846071549,0.7,0.9861243662149022,2.7,7.10662333333336,4.0,4.121861818968811
60,40.0,39.99999999999886,2.7,3.1541803507355937,42.0,44.059636666666634,38.0,38.2513566490671
61,0.7,1.9103289215036625,42.0,41.75836480896072,26.0,25.217923333333392,25.0,25.381025447048415
62,2.7,4.847920877698698,26.0,25.963670693911087,5.0,7.3542466666666915,1.0,0.6864590746953285
63,42.0,42.10517151308687,33.8,33.810735548335295,16.0,16.212506666666645,2.0,1.7488779059259878
64,26.0,22.397456696416555,16.1,16.554980895983753,32.0,32.626213333333354,40.0,40.7996592719464
65,33.8,33.634711967815974,5.0,5.264021505760519,31.0,29.906240000000018,0.7,0.6858313406229464
66,16.1,14.176489094626788,16.0,16.15973636598078,29.7,29.263833333333285,2.7,2.4407497552895454
67,5.0,5.440712783248159,32.0,30.99402406288846,12.0,15.572033333333334,26.0,26.270144133327896
68,16.0,17.98622353813039,31.0,30.85710735042409,16.4,17.094203333333315,33.8,34.27557368981344
69,32.0,32.030268080328256,29.7,29.55568778978331,2.3,4.9244733333333315,16.1,16.148899098132524
70,31.0,34.05151985098331,2.3,2.819926357634998,23.0,21.28979666666668,16.0,16.450197384954873
71,29.7,26.858309808578724,4.4,4.8328855820218175,33.0,32.15614666666671,32.0,32.46804556846086
72,16.4,15.602348365166563,5.0,5.279543179251367,19.0,19.07392666666668,31.0,31.75559253349568
73,2.3,2.3298696021666956,50.0,50.06869394929952,21.0,24.25088666666667,29.7,29.97000759287231
74,5.0,4.32516079758102,19.0,18.866393621396522,17.1,16.871300000000026,12.0,13.013434679777541
75,23.0,19.21155765007029,8.0,8.762404903058563,13.0,12.420489999999983,16.4,16.453620965435555
76,9.0,12.111911357270913,17.1,16.540307613321044,16.8,16.225943333333323,2.3,2.0497035778169006
77,50.0,49.73954822187574,16.8,16.590103233574872,5.0,8.662586666666662,4.4,4.669971922472066
78,8.0,9.686616951556914,0.0,0.32140171894673675,10.0,7.886850000000034,5.0,4.596824208568385
79,17.1,16.248598949355596,5.0,5.748913481763766,55.0,53.109476666666616,23.0,22.767509058024782
80,13.0,12.038163536704303,10.0,9.723934154609204,17.5,18.501556666666666,33.0,33.69283917801876
81,16.8,14.61904766097473,17.5,17.435207449036856,10.5,11.672359999999998,9.0,9.27956034471766
82,0.0,-2.1063841850050267,10.5,11.023357258485603,10.0,7.180820000000008,50.0,50.42092302696663
83,5.0,12.406991382222884,0.1,0.6798838052573134,3.0,3.6589033333333285,19.0,18.847077927259836
84,10.0,9.834466869184894,3.3,3.2628436916249566,0.1,2.6182766666666653,8.0,8.425794247444209
85,55.0,50.99007785533473,39.0,38.467580231632155,34.0,35.7991466666666,17.1,17.17060846668983
86,17.5,17.119291139193194,50.0,50.103762674199125,3.3,3.1523600000000016,13.0,12.77571463738989
87,10.5,11.356274249925548,6.0,6.472892243095031,39.0,36.23991333333329,16.8,16.663327782022613
88,5.0,6.418319542913764,0.0,0.9767200624541892,16.0,16.206863333333338,0.0,-0.2010381999799708
89,10.0,7.2415022160927265,33.1,33.099720401095205,50.0,52.40772666666658,10.0,9.850030661154362
90,3.0,1.685604215718456,30.0,29.92633564987584,0.0,0.6036033333333335,55.0,55.35608589669101
91,0.1,5.266619429325942,16.0,15.65182442547701,33.1,33.96911000000005,17.5,17.355003461192357
92,3.3,0.14057949361728106,32.0,31.603690869447433,40.0,42.25346999999994,10.5,10.695449309080725
93,39.0,41.407647195084905,61.0,58.72517857135392,30.0,29.370533333333356,5.0,4.96024270517206
94,16.0,18.007099238862452,32.0,32.09275867306864,16.0,14.323529999999996,3.0,2.983465141373249
95,50.0,47.43359251280617,0.0,0.6786164436448876,32.0,30.83582666666668,0.1,0.13323092955615307
96,6.0,5.845279404588325,41.0,40.569986415731535,61.0,55.84875333333324,34.0,34.798736243260606
97,0.0,1.4431658371788672,11.0,10.917269036005722,32.0,32.91688,3.3,2.7759588249224474
98,33.1,33.92602541238972,2.7,3.388035630788743,15.0,15.570483333333335,39.0,39.324987020057975
99,30.0,29.06630246894366,2.3,2.8316285981899947,23.7,26.04074666666671,16.0,16.02860177876519
100,16.0,13.357667284335378,3.0,3.4607650324837183,0.0,0.43122333333333385,50.0,50.15901845417751
