,LinearRegression_train_true,LinearRegression_train_pred,GradientBoostingRegressor_train_true,GradientBoostingRegressor_train_pred,ExtraTreesRegressor_train_true,ExtraTreesRegressor_train_pred,LinearRegression_GradientBoostingRegressor_ExtraTreesRegressor_train_true,LinearRegression_GradientBoostingRegressor_ExtraTreesRegressor_train_pred
0,29.8,24.83173616039022,29.8,29.766300608003338,29.8,28.739856666666654,29.8,29.45116539710352
1,29.6,25.251170945309923,27.3,27.12855104267412,29.6,30.12922666666666,29.6,28.870714655706134
2,27.0,29.65057151065554,26.6,26.318109273780724,27.3,26.924003333333324,27.3,27.866197262580467
3,18.0,14.998765537373345,24.0,24.09328002355819,27.0,25.302983333333348,26.6,27.141006050656525
4,17.2,19.50224700788999,11.9,12.032832280081514,26.6,26.478423333333343,24.0,23.200563792829655
5,16.0,19.74009461981143,14.1,14.351122545243763,24.0,24.148570000000007,20.0,19.88068969396242
6,11.9,16.09299083848407,20.0,19.450317805623186,20.0,19.731779999999986,16.0,16.26449183140466
7,14.1,17.888864925949747,20.0,19.940629095618068,18.0,17.456210000000016,14.1,13.855984481039215
8,20.0,17.613914962818683,19.2,18.905279884533368,17.2,16.845370000000013,20.0,19.558922477004522
9,19.2,17.92817039515228,14.3,14.79417704843127,16.0,16.405270000000016,14.3,14.329854324743474
10,14.3,17.310564691752973,17.1,16.691566507180717,11.9,15.156306666666676,17.1,16.214252701721044
11,17.1,18.036070756417075,16.5,16.32649720294343,19.2,19.094939999999976,16.5,15.398131927822831
12,16.5,15.109786336494324,11.0,11.547263340354743,14.3,14.952336666666662,11.0,11.033618203032031
13,11.0,17.970236927555334,27.7,28.027488874563918,17.1,16.978046666666675,27.7,28.059519790434514
14,27.7,31.10923951707025,27.8,27.518087428262266,16.5,15.60027333333333,27.8,27.900012065372717
15,27.8,30.103232656684554,14.8,15.42621167179535,11.0,13.096356666666665,14.8,14.141567207959726
16,14.8,17.56073482560015,15.3,15.18453434549302,27.7,28.618526666666668,15.3,14.817419988469572
17,15.3,16.373864869667727,16.4,16.721473207411492,27.8,27.83204,16.4,15.537019961551906
18,16.4,14.553384623855777,21.2,21.04636629708041,14.8,18.72104999999999,21.2,19.960200840870208
19,27.1,28.079084526668794,27.1,27.20888514233931,15.3,16.16803999999999,16.2,15.870250452711389
20,16.2,16.926796527205397,16.2,16.05242805271996,21.2,19.956866666666645,17.4,16.609995475657254
21,17.4,14.418503087878094,17.4,17.555441066524462,27.1,27.87705666666666,15.4,14.654782204444981
