,LinearRegression_train_true,LinearRegression_train_pred,GradientBoostingRegressor_train_true,GradientBoostingRegressor_train_pred,ExtraTreesRegressor_train_true,ExtraTreesRegressor_train_pred,LinearRegression_GradientBoostingRegressor_ExtraTreesRegressor_train_true,LinearRegression_GradientBoostingRegressor_ExtraTreesRegressor_train_pred
0,29.8,23.558174468430124,29.8,29.372827579441886,29.8,29.485260000000007,29.8,30.485843227254556
1,29.6,25.059793699877545,27.3,27.62985154033556,29.6,29.501493333333322,29.6,30.25422949430452
2,27.3,34.292707684207144,27.0,26.569332124950524,27.3,26.84361666666668,27.3,28.40633647801171
3,27.0,31.333698242079024,26.6,26.46708358939145,27.0,25.496653333333335,27.0,27.594360865436528
4,26.6,28.45679211589156,24.0,24.04199142156966,26.6,26.54881666666667,24.0,24.92567713152364
5,18.0,15.243824237864871,20.0,19.938830572958302,24.0,24.380620000000004,20.0,20.23020768736281
6,17.2,18.808175614309633,17.2,16.926879072957224,20.0,19.272090000000002,17.2,17.236702176527746
7,16.0,23.574461265213998,16.0,16.685166469087516,18.0,17.692443333333344,11.9,11.464839295660079
8,14.1,16.135093024919613,14.1,14.188557566993232,11.9,13.699313333333295,20.0,20.039228191990066
9,20.0,20.454224343957762,20.0,19.82310679580285,14.1,13.874536666666613,20.0,20.18632679729901
10,14.3,15.978846951981538,19.2,18.89978726612323,20.0,21.05971666666668,19.2,19.28365341219617
11,17.1,13.406230384801276,14.3,14.488267400907525,14.3,14.722316666666666,17.1,16.646411973712347
12,16.5,14.688301929014145,17.1,16.829354219496103,17.1,17.03218666666667,16.5,15.852179608657345
13,11.0,17.66812243577992,16.5,16.43242683236712,16.5,15.59161333333333,11.0,11.500520550831542
14,27.8,28.658030162000003,11.0,12.082818729281254,11.0,12.96186333333334,27.7,29.25841722829649
15,14.8,19.343435107721476,27.7,27.963076468034078,27.7,27.893430000000023,27.8,28.73750842255322
16,15.3,15.647169401087169,14.8,15.499465350149135,15.3,16.430513333333348,16.4,15.93499009247886
17,16.4,15.793553219892786,15.3,15.369915641775547,16.4,15.871703333333329,27.1,28.081505966232854
18,21.2,18.289362131166442,16.4,16.026918027406566,27.1,28.42781333333336,16.2,16.59102465560439
19,16.2,18.31616620004253,27.1,26.999749632889475,16.2,15.55382333333332,17.4,16.95981756454734
20,17.4,15.975857734768383,16.2,15.451023607500536,17.4,17.14366,15.4,15.357734530638773
21,17.5,18.380447156609208,17.4,17.274211670040142,15.1,16.449966666666622,17.5,17.402654832326522
22,15.1,22.163558026602857,15.4,15.757349876993496,17.0,16.517066666666654,15.1,15.770267443394523
