,LinearRegression_train_true,LinearRegression_train_pred,GradientBoostingRegressor_train_true,GradientBoostingRegressor_train_pred,ExtraTreesRegressor_train_true,ExtraTreesRegressor_train_pred,LinearRegression_GradientBoostingRegressor_ExtraTreesRegressor_train_true,LinearRegression_GradientBoostingRegressor_ExtraTreesRegressor_train_pred
0,29.8,26.096702159631718,29.6,29.528849192223603,29.8,26.18024666666667,29.8,30.202430666542988
1,27.3,32.50539366922959,27.3,27.049476717071233,27.3,27.074240000000017,29.6,30.105128444615875
2,27.0,30.59956720554331,27.0,26.83327102171805,27.0,25.178033333333357,27.3,28.590826364975438
3,26.6,29.765469898850455,26.6,26.44404903114893,26.6,25.96464333333336,27.0,28.337422737461388
4,24.0,25.8386657838999,24.0,23.985801278808502,24.0,24.462010000000014,26.6,28.121666511247426
5,20.0,21.350795014236752,20.0,19.9363465266231,20.0,20.291413333333324,24.0,24.74867316127227
6,18.0,15.880864211092842,18.0,17.74957747741728,18.0,17.461643333333353,18.0,17.770198438019563
7,17.2,19.377408782990443,17.2,17.16295846638185,16.0,16.74926333333333,11.9,12.643544151023729
8,16.0,18.65172489488151,16.0,16.32280005995023,11.9,13.738463333333316,14.1,14.859201815878562
9,11.9,13.220388575374812,14.1,13.95635107520886,14.1,14.310019999999977,20.0,19.844791872723764
10,14.1,16.760905329423053,20.0,19.787519252230226,20.0,18.977543333333305,19.2,19.69506002156219
11,20.0,18.69798075988149,20.0,19.302318142221345,20.0,19.738203333333335,14.3,15.254120324356068
12,20.0,18.73795142531887,14.3,14.65863343190947,19.2,18.96701666666667,16.5,16.251227185301907
13,14.3,16.667556148170405,16.5,16.48609279033935,14.3,16.374693333333347,11.0,12.187829954259108
14,17.1,15.950158883114653,11.0,11.932372686097217,17.1,17.060806666666675,27.7,29.11415065907881
15,16.5,16.885686411886212,27.7,27.7407732405794,16.5,15.40450333333334,27.8,29.04412816088968
16,27.7,29.517455851796825,27.8,27.610588212319236,11.0,13.499050000000013,14.8,15.593449332953305
17,14.8,18.55708707453485,15.3,15.483120410263112,27.7,28.45457999999999,16.4,16.68656139783413
18,15.3,14.301930115849956,21.2,21.113713834038244,27.8,27.925873333333335,21.2,20.777092813778573
19,16.4,14.946095941664709,27.1,27.06631111557484,14.8,18.444203333333324,27.1,27.94718418147962
20,16.2,18.944771764626324,16.2,15.750359282355003,15.3,16.248963333333315,16.2,16.767436033699003
21,17.4,15.380567610497877,17.4,17.413418931604497,16.4,16.288916666666665,17.4,17.139572590036014
22,15.4,12.576417322900454,15.4,15.272394530068766,21.2,20.185009999999995,15.4,15.849848361270684
23,17.5,17.697967379328276,17.5,17.294355810403957,27.1,28.68705999999998,17.0,16.98213330493657
24,15.1,21.11004021238989,17.0,17.128133661799254,16.2,15.428886666666656,17.0,16.846980400809674
25,17.0,16.19524281584296,17.1,17.01113731792187,17.4,17.10818333333333,15.0,15.752764131996749
26,17.1,16.60237371946431,15.0,15.536761885098132,15.4,15.504733333333395,15.1,16.12448976943077
27,15.0,17.68315860221287,15.1,15.497740720091157,15.1,16.756846666666636,15.0,15.369508718489733
28,15.1,14.638209395047085,15.0,15.104071246609825,17.0,17.47293333333332,16.0,15.681868384460504
29,15.0,17.07551726746209,16.0,16.040860025377924,17.0,16.56921333333334,16.0,16.22439082614801
30,16.0,11.742557335014595,16.0,16.19704098303075,15.0,15.275163333333333,16.6,16.696677761543924
31,16.0,12.187962134952244,16.6,16.7062429101248,15.1,15.639766666666668,18.0,17.907937570707976
32,18.0,18.071789796777693,18.0,17.724980145854143,15.0,14.460203333333322,19.0,19.836219239613946
33,18.0,18.046177451719984,18.0,17.699853024111906,16.0,14.885486666666663,19.0,19.46296165673117
34,19.0,19.728721353303598,19.0,18.799900137426352,16.0,15.810133333333333,18.0,18.826573374183077
35,15.0,15.19236694112928,18.0,18.00105516470829,16.6,16.231193333333408,15.0,15.159192765152861
36,17.0,16.79717905965464,15.0,14.740078013725538,18.0,17.573796666666652,17.0,17.50112770745802
37,15.0,14.117175936173368,17.0,17.15732749991491,19.0,19.523430000000026,27.0,28.261707862955912
38,17.2,18.26345642982642,27.0,27.113909600352525,19.0,20.47163333333332,17.2,17.81470149522529
39,16.6,18.225932707268953,17.2,17.14325349207058,18.0,18.695310000000028,16.6,17.09445329597086
40,22.4,24.115452315855947,16.6,16.482487541951116,15.0,14.228253333333324,22.4,23.801579934577344
41,22.0,17.032638745403034,22.4,22.9497247915483,17.0,17.01584666666668,16.1,15.83598268696489
42,16.1,11.099288617187398,22.0,21.49760607000626,15.0,14.179766666666653,23.0,23.733671092438552
43,23.0,22.38221363506713,16.1,15.919334774669599,27.0,25.82359333333336,32.2,33.0352438014648
44,32.2,32.866562963370285,23.0,22.938123250325066,17.2,18.181136666666635,0.0,-0.5570236082456244
45,47.2,46.12652292886136,32.2,31.82308853437329,16.6,18.540963333333305,19.0,20.011761678213457
46,23.0,20.073122707375006,47.2,47.42318020942969,22.4,25.121486666666684,23.0,22.883236237575026
47,35.0,32.06150408019616,0.0,0.1724152768585003,16.1,15.613050000000053,35.0,35.88886546214904
48,19.2,21.886035585531687,19.0,19.502527046737743,32.2,30.80623999999999,19.2,20.130698224952543
49,19.0,14.784468729652616,35.0,35.02251754100987,0.0,1.0185999999999955,19.0,19.011580767547084
50,4.0,4.598079850065858,19.2,19.08145979434808,19.0,20.60496333333333,20.0,19.33346548320147
51,38.0,35.76580170101681,19.0,18.40424792860874,23.0,21.5536,19.0,19.73617437299578
52,25.0,28.23348839693668,19.8,19.930818417451917,35.0,33.61706333333331,19.8,21.07910064741523
53,55.0,45.678365641190396,4.0,4.148224269159222,19.2,19.597653333333316,4.0,4.22633785695035
54,1.0,0.57607945850134,38.0,38.33266268924046,19.0,18.723106666666666,38.0,39.330096065889364
55,2.0,2.8914165472552043,55.0,54.61397417575312,20.0,18.671876666666655,25.0,26.81614696469436
56,40.0,40.0695065900922,1.0,1.2686310982758497,19.0,20.30130666666667,55.0,56.30538041717274
57,0.7,0.05604502345821061,2.0,2.5152305533455395,19.8,20.500386666666635,1.0,0.5045086706378283
58,2.7,3.4877636667781644,2.7,3.78738139228284,55.0,55.013389999999845,2.0,1.711806131863114
59,42.0,44.45408007940176,42.0,42.240007482947604,1.0,1.2422633333333353,40.0,41.45074234240242
60,16.1,15.01377864028629,26.0,25.911923774483295,2.0,4.418983333333333,0.7,0.5856067318283036
