,LinearRegression_train_true,LinearRegression_train_pred,GradientBoostingRegressor_train_true,GradientBoostingRegressor_train_pred,ExtraTreesRegressor_train_true,ExtraTreesRegressor_train_pred,LinearRegression_GradientBoostingRegressor_ExtraTreesRegressor_train_true,LinearRegression_GradientBoostingRegressor_ExtraTreesRegressor_train_pred
0,29.8,25.4367419242368,29.6,29.484752686176154,29.6,30.6104733333334,29.8,29.48074701997479
1,29.6,27.240574648760116,27.3,27.090837860091106,27.0,25.339776666666666,29.6,28.97968963878144
2,27.3,33.0321232345234,27.0,26.75354462742154,24.0,24.417249999999996,27.3,28.767555931701896
3,27.0,29.09566694027012,26.6,26.422736371108787,20.0,20.041376666666668,26.6,26.87094960777726
4,26.6,30.904209164767053,24.0,24.211235566561562,18.0,17.418139999999987,24.0,24.127450687362902
5,24.0,22.305493413726822,20.0,19.979677308928498,17.2,17.941900000000015,20.0,20.13763593728337
6,20.0,24.083149176724532,17.2,17.14393045492029,16.0,16.475246666666663,18.0,16.284500670440245
7,18.0,14.968327516466957,16.0,16.111586483065658,11.9,13.976503333333316,17.2,16.532756334035128
8,17.2,19.39017720824245,11.9,11.924771283958128,14.1,14.160706666666655,16.0,16.88019367214804
9,16.0,19.142703977617998,14.1,14.068294299758948,20.0,19.51831000000003,20.0,18.59140898924727
10,11.9,13.534323132260852,20.0,19.637781457168035,20.0,20.23317666666667,20.0,19.245803356848025
11,14.1,15.740700888017273,20.0,20.00646633900691,19.2,18.995056666666695,19.2,18.70574524672948
12,20.0,20.553594716860516,14.3,14.60056060929565,16.5,15.609406666666665,14.3,15.039991041090708
13,20.0,17.974940808670112,17.1,17.018558485277957,11.0,13.280219999999998,17.1,16.324186125660688
14,19.2,18.909159770518045,16.5,15.996756461573298,27.7,29.348476666666752,16.5,15.540701627397343
15,14.3,19.649842069907095,11.0,12.021913862284112,14.8,15.58796666666667,11.0,12.710780255517035
16,17.1,17.035741068977018,27.8,27.474286040355427,15.3,15.455040000000006,14.8,15.028199319589831
17,16.5,13.513301585102454,15.3,15.438014157839076,16.4,15.593250000000008,15.3,14.97392141799605
18,11.0,17.017177200495667,16.4,16.351707071835474,21.2,21.167340000000014,16.4,16.19295576486959
19,27.7,30.032963043358563,21.2,21.22504757282223,27.1,28.31218333333333,21.2,19.304270761108015
20,27.8,29.792074221657117,16.2,15.590512378479467,16.2,15.445676666666655,27.1,27.321895442203612
21,21.2,14.962408271832487,17.4,17.429172169451757,15.4,15.806923333333394,16.2,16.143048128949964
22,27.1,25.87287095543627,17.5,17.490608874860612,17.5,17.063559999999974,17.4,16.209763055544023
23,16.2,19.82475041641635,15.1,15.273030226626515,15.1,17.164793333333307,15.4,15.222482250813727
24,15.4,13.595527770283411,17.0,17.133846507718484,17.0,17.134593333333317,17.5,16.87842444207639
25,15.1,19.63528707764499,17.0,16.935797203705704,17.0,16.43227666666666,17.0,16.34219891943742
26,17.0,13.38904603391336,17.1,17.390436075238853,17.1,17.321689999999975,17.0,15.71125000669576
27,17.1,16.056454771124777,15.0,15.065878522802175,15.0,15.360753333333337,17.1,16.73131492887877
