,LinearRegression_train_true,LinearRegression_train_pred,GradientBoostingRegressor_train_true,GradientBoostingRegressor_train_pred,ExtraTreesRegressor_train_true,ExtraTreesRegressor_train_pred,LinearRegression_GradientBoostingRegressor_ExtraTreesRegressor_train_true,LinearRegression_GradientBoostingRegressor_ExtraTreesRegressor_train_pred
0,29.8,24.843195255613352,29.8,29.372750370262377,29.8,28.64313999999995,29.8,31.027518670886167
1,29.6,25.654429587732764,29.6,30.219994227083866,29.6,29.21684333333333,29.6,30.258878743024226
2,27.0,28.74414170569571,27.3,27.228688603536195,27.3,26.983619999999995,26.6,28.090040367664017
3,26.6,29.41098422234731,27.0,26.600306462756123,27.0,25.436880000000016,24.0,24.93168119906143
4,24.0,24.149606412324793,26.6,26.426762589691243,26.6,26.48981333333334,20.0,20.658365486387595
5,20.0,20.1655462976821,24.0,24.160642128519374,20.0,20.22504000000001,18.0,18.044405094780178
6,18.0,17.155255456374263,20.0,19.848017154372705,18.0,17.410020000000017,17.2,17.641724013883323
7,17.2,17.827897210383327,18.0,17.761087909796874,16.0,15.927066666666661,16.0,16.798789528328403
8,16.0,20.890466192071756,17.2,17.133183477392095,14.1,12.6602,11.9,12.24536456809854
9,11.9,15.50822641899002,16.0,16.242482963434664,20.0,19.528286666666684,14.1,14.841844772135559
10,20.0,16.718868506680906,11.9,12.019096961465513,20.0,19.288016666666667,20.0,20.134071993028428
11,19.2,19.012299997165208,14.1,14.198859579915585,19.2,18.915800000000026,20.0,20.491375142016025
12,14.3,17.477107338437094,20.0,19.887124717121253,14.3,16.59390333333335,19.2,19.460861931396355
13,17.1,16.454547080379598,19.2,19.22718512663934,17.1,16.879133333333325,14.3,14.308614138250087
14,27.8,32.47327624204658,14.3,14.568944580444246,11.0,12.989946666666674,17.1,17.136078893718995
15,14.8,17.111870674005928,17.1,16.768362201247218,27.7,27.85270333333336,16.5,16.475618761897437
16,15.3,16.351929823581614,11.0,11.788302956441797,27.8,28.246059999999936,11.0,11.56436840195626
17,16.4,15.47889238471619,27.7,27.531283950313117,14.8,19.60584666666665,27.7,29.190342366425735
18,21.2,16.737888406357783,27.8,27.57990892003937,15.3,15.457419999999976,27.8,29.509747730360193
19,17.4,15.019791930688953,14.8,15.102958686206811,16.4,15.415816666666663,14.8,14.995233754204055
20,15.4,12.88239842220959,15.3,15.463476869494453,21.2,19.935133333333358,15.3,15.726676727911006
21,17.5,17.90776902092145,16.4,16.308564831161252,27.1,27.937269999999994,16.4,16.616743585839124
22,15.1,20.170895903145563,21.2,21.1886591262183,15.4,15.350523333333369,21.2,21.19750579380633
23,17.0,14.406466968042864,27.1,27.047990384409587,17.5,17.024650000000005,27.1,28.09350363978863
24,17.0,13.150681656338179,16.2,15.606590505280062,15.1,17.006743333333354,16.2,16.895702577884816
25,17.1,18.902816440941237,15.4,15.564034413122771,17.0,16.822203333333317,17.4,17.26014052017514
26,15.0,18.016541900368793,15.1,15.911127597695124,17.0,16.136499999999998,15.4,15.324822956860466
27,15.1,19.274546207731575,17.0,17.177662707187267,15.0,15.16613000000002,17.5,17.780969985694345
28,16.0,10.296550221341022,17.1,16.9226300337177,15.1,15.194386666666666,15.1,15.67692537704065
29,16.0,13.898804839271634,15.1,15.486490498856439,15.0,13.415423333333356,17.0,16.655576112030396
30,18.0,17.44095618292306,15.0,14.903312592379525,16.0,14.36167333333336,17.1,17.474202369630223
31,18.0,17.29957408554077,16.0,16.29848658431871,16.6,16.33838333333339,15.0,15.198261902913341
32,19.0,19.38365927270926,16.0,16.030797904011347,18.0,17.554040000000008,15.1,15.554397899246364
33,19.0,15.927858729794742,16.6,16.397954407607767,19.0,19.809573333333347,15.0,15.175336148605023
34,18.0,16.272639262396538,18.0,17.4941932849014,19.0,18.379946666666704,16.0,15.510465042930246
35,15.0,14.348031919680452,19.0,19.34523785253518,27.0,24.851269999999968,16.6,16.226208529294805
36,17.0,17.483458635359767,15.0,15.26299915074905,17.2,17.759450000000022,18.0,18.38203012568325
37,15.0,12.752668953846765,15.0,14.965619645285603,16.6,14.4628733333333,18.0,18.236037529143832
38,17.2,20.90474048530008,17.2,17.078574340969084,22.4,24.818909999999992,18.0,18.314242074041125
