Index,Model Name,Col3,Col4,Col5,Col6,Col7,Col8
0,LinearRegression,0.9518206620203064,2.416387941821376,3.1244971828740185,0.5502100437468088,6.2540508095473575,9.17496310086861
0,GradientBoostingRegressor,0.9997799111565371,0.13203943207019803,0.21035618614788504,0.79872478496571,4.622122658292336,6.230672478638286
0,ExtraTreesRegressor,1.0,2.2507789283159648e-13,4.137705828859158e-13,0.7987994219616974,4.262997142857142,6.136001738977621
0,LinearRegression_GradientBoostingRegressor_ExtraTreesRegressor,0.9970199816225002,0.6170337864427741,0.7582158549711033,0.873493107547794,3.613140237963323,4.995786420201222
6,LinearRegression,0.9526418035135045,2.393312408099644,3.097321586968695,0.4074782893419503,7.003434058441648,10.06238824489479
6,GradientBoostingRegressor,0.9998259136086464,0.10796636208808122,0.18291888462282505,0.7601977989804649,4.818167595279642,6.667413505880456
6,ExtraTreesRegressor,1.0,2.2507789283159643e-13,4.134699649831773e-13,0.8095845231312202,4.228143492063479,5.9420006260796345
6,LinearRegression_GradientBoostingRegressor_ExtraTreesRegressor,0.9963873512709955,0.6895069439262875,0.8381557109370348,0.8665811401923973,3.80103209845103,5.092092864269622
7,LinearRegression,0.9513700263999455,2.412437830589269,3.1382985387425726,0.6626732569370152,5.7668063953721305,8.097127911019525
7,GradientBoostingRegressor,0.9997260798497866,0.11515080352372613,0.22845415460529214,0.7675038306111086,4.717770219698945,6.6052736309835565
7,ExtraTreesRegressor,1.0,2.250778928315965e-13,4.1361523747467374e-13,0.8424220089089933,3.929780952380945,5.4908245751877605
7,LinearRegression_GradientBoostingRegressor_ExtraTreesRegressor,0.9951513108834245,0.788411444780807,0.977423952551152,0.8628085770405549,3.7865203852983056,5.134951994629385
8,LinearRegression,0.9509294841602125,2.398494229210553,3.1539950584486163,0.09605399597878572,6.951286215807874,12.32412063507295
8,GradientBoostingRegressor,0.9997783035572384,0.1006394397435729,0.19283456130342452,0.7321688267744456,5.1839088317173,7.118544327519649
8,ExtraTreesRegressor,1.0,2.2507789283159648e-13,4.1372477509023176e-13,0.7904884656694732,4.276021269841263,6.17113590165827
8,LinearRegression_GradientBoostingRegressor_ExtraTreesRegressor,0.9933154562054515,0.8892866959683048,1.1120767409402348,0.8639106464294877,3.768132671908152,5.1457113397258585
14,LinearRegression,0.9522167045937385,2.39218688761057,3.1137674133336177,0.6310041182149153,5.892258628650547,8.378410999456648
14,GradientBoostingRegressor,0.9997416164111819,0.12038416929391929,0.21887249918666588,0.7714903128883421,5.01357325348403,6.765406407082421
14,ExtraTreesRegressor,1.0,2.2507789283159648e-13,4.137067289590978e-13,0.8606585811771851,3.6703158730158782,5.18832998733564
14,LinearRegression_GradientBoostingRegressor_ExtraTreesRegressor,0.9963063645240027,0.6390897995400825,0.8084717909122935,0.8799480772235144,3.4406656622188208,4.824933897371261
21,LinearRegression,0.9510469509660846,2.4182504205873387,3.1514948342254767,0.6948912658827862,5.771762026923081,7.734969067542524
21,GradientBoostingRegressor,0.999747865658383,0.12314281102314155,0.2132731198308721,0.7800240177410579,4.671442613859058,6.477356310389505
21,ExtraTreesRegressor,1.0,2.2507789283159648e-13,4.1379614763165217e-13,0.7744896627165387,4.273309523809524,6.241839854951219
21,LinearRegression_GradientBoostingRegressor_ExtraTreesRegressor,0.9941204948603968,0.8890317608209355,1.0704094063561689,0.8609246586540517,3.859750299293603,5.172723670870555
38,LinearRegression,0.948646642856318,2.4976188383118454,3.229982929568228,0.7373024611390501,5.325001469244415,7.098060952050984
38,GradientBoostingRegressor,0.9997894091345971,0.10372110399902626,0.19582524553557712,0.753651892602056,4.9188980266849995,6.923851156309294
38,ExtraTreesRegressor,1.0,2.2507789283159648e-13,4.134017950109127e-13,0.8444293193103588,3.88510698412698,5.451401328345705
38,LinearRegression_GradientBoostingRegressor_ExtraTreesRegressor,0.9938674223936641,0.8280309745909147,1.0499108515520759,0.8615411048763338,3.7384061939465596,5.041667507871679
41,LinearRegression,0.9512291850100029,2.4364346074553387,3.145992577630273,0.636759371106765,5.839969276422281,8.033513432899309
41,GradientBoostingRegressor,0.9997925257758669,0.10387929884642247,0.192998543080868,0.7862489058262653,4.684812609412555,6.471112636504048
41,ExtraTreesRegressor,1.0,2.2507789283159643e-13,4.133878811818798e-13,0.836866524603171,3.964054920634908,5.552684163917352
41,LinearRegression_GradientBoostingRegressor_ExtraTreesRegressor,0.9968087417284778,0.628440699308052,0.7676355080579538,0.8626803199442994,3.7495642156987117,5.228051114121013
44,LinearRegression,0.9524111259124837,2.4036782018767213,3.0993146682045976,0.25834656533703637,6.733007020226121,10.913922043899609
44,GradientBoostingRegressor,0.9997908944778807,0.11223314641983122,0.2008671142765551,0.7753868439383288,4.648572079775666,6.4811814836609285
44,ExtraTreesRegressor,1.0,2.2507789283159648e-13,4.1383480767344986e-13,0.8126248393062617,3.944287301587304,5.832415360370033
44,LinearRegression_GradientBoostingRegressor_ExtraTreesRegressor,0.995717710125206,0.7156469500323152,0.879607518064835,0.8786785177432334,3.5991961802920103,4.943309720822688
48,LinearRegression,0.9518369635979319,2.430918783968612,3.1266962935946676,0.49898894465452026,6.11576128742724,9.398610939785831
48,GradientBoostingRegressor,0.9997316992941603,0.13290372430830208,0.2278878623026253,0.7980114851625831,4.65141930412929,6.237204002535729
48,ExtraTreesRegressor,1.0,2.2507789283159648e-13,4.1376054046885416e-13,0.7987137227813712,3.9907298412698253,5.880255229309179
