,model,r2_train,r2_test,mae_train,mae_test,rmse_train,rmse_test
0,LinearRegression,0.9509657608015725,0.6827655136085795,2.437228963005712,5.8141295874560495,3.159536870448416,8.036443646587703
1,GradientBoostingRegressor,0.9981362760418087,0.7694723678057618,0.37357485202401547,4.771209187994041,0.6159770068732108,6.850703978386785
2,ExtraTreesRegressor,0.9789732001373451,0.8375718533157972,1.3715137460317472,4.0970781746031735,2.0689990803345157,5.750483367083858
3,Stacking,0.9957767375117595,0.8793921887548204,0.7428584416815752,3.6316807426516124,0.9272519270895496,4.955202705751003
